Loc,Total,Default
Appendable_ThreadSafeMonitor @ VectorTileEncoderPerformanceTest.java:35,1(99),1(16)
Appendable_ThreadSafeMonitor @ VectorTileEncoderTest.java:427,1(19),1(6)
Appendable_ThreadSafeMonitor @ WKTWriter.java:173,1(2),1(2)
Appendable_ThreadSafeMonitor @ WKTWriter.java:735,1(23),1(6)
Closeable_MultipleCloseMonitor @ VectorTileEncoderTest.java:665,1(1),1(1)
Closeable_MultipleCloseMonitor @ WKTReader.java:242,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AbstractMessageLite.java:372,19(76),5(12)
Collection_UnsafeIteratorMonitor @ AbstractSTRtree.java:147,30(81),13(19)
Collection_UnsafeIteratorMonitor @ BufferBuilder.java:218,2(3),2(3)
Collection_UnsafeIteratorMonitor @ BufferBuilder.java:278,2(3),2(3)
Collection_UnsafeIteratorMonitor @ BufferBuilder.java:307,2(3),2(3)
Collection_UnsafeIteratorMonitor @ BufferSubgraph.java:73,2(12),2(12)
Collection_UnsafeIteratorMonitor @ BufferSubgraph.java:147,2(17),1(3)
Collection_UnsafeIteratorMonitor @ BufferSubgraph.java:250,2(17),2(17)
Collection_UnsafeIteratorMonitor @ EdgeEndStar.java:100,35(497),35(497)
Collection_UnsafeIteratorMonitor @ EdgeIntersectionList.java:66,4(40),2(3)
Collection_UnsafeIteratorMonitor @ EdgeList.java:57,1(2),1(2)
Collection_UnsafeIteratorMonitor @ EdgeList.java:79,6(0),5(0)
Collection_UnsafeIteratorMonitor @ EdgeNodingValidator.java:52,3(0),3(0)
Collection_UnsafeIteratorMonitor @ FieldSet.java:242,1(75),1(20)
Collection_UnsafeIteratorMonitor @ GeometryFactory.java:553,2(7),1(2)
Collection_UnsafeIteratorMonitor @ GeometryFactory.java:579,1(8),1(8)
Collection_UnsafeIteratorMonitor @ GeometryGraph.java:196,3(3),3(3)
Collection_UnsafeIteratorMonitor @ GeometryGraph.java:423,3(3),3(3)
Collection_UnsafeIteratorMonitor @ IndexedNestedHoleTester.java:81,3(23),1(4)
Collection_UnsafeIteratorMonitor @ IndexedNestedPolygonTester.java:91,2(4),2(4)
Collection_UnsafeIteratorMonitor @ IndexedPointInAreaLocator.java:145,1(1),1(1)
Collection_UnsafeIteratorMonitor @ LineBuilder.java:68,3(0),3(0)
Collection_UnsafeIteratorMonitor @ LineBuilder.java:78,3(0),3(0)
Collection_UnsafeIteratorMonitor @ LineBuilder.java:90,3(0),3(0)
Collection_UnsafeIteratorMonitor @ LineBuilder.java:155,1(2),1(1)
Collection_UnsafeIteratorMonitor @ MCIndexNoder.java:84,9(16),9(11)
Collection_UnsafeIteratorMonitor @ MCIndexNoder.java:95,15(10),15(10)
Collection_UnsafeIteratorMonitor @ MCIndexNoder.java:99,32(2275),4(141)
Collection_UnsafeIteratorMonitor @ MCIndexNoder.java:119,20(128),2(14)
Collection_UnsafeIteratorMonitor @ Node.java:51,4(26),4(26)
Collection_UnsafeIteratorMonitor @ NodeMap.java:98,6(6),6(6)
Collection_UnsafeIteratorMonitor @ NodedSegmentString.java:63,2(3),2(3)
Collection_UnsafeIteratorMonitor @ OverlayOp.java:263,3(0),3(0)
Collection_UnsafeIteratorMonitor @ OverlayOp.java:429,3(0),3(0)
Collection_UnsafeIteratorMonitor @ OverlayOp.java:445,3(0),3(0)
Collection_UnsafeIteratorMonitor @ OverlayOp.java:457,3(0),3(0)
Collection_UnsafeIteratorMonitor @ OverlayOp.java:482,3(0),3(0)
Collection_UnsafeIteratorMonitor @ OverlayOp.java:527,3(0),3(0)
Collection_UnsafeIteratorMonitor @ OverlayOp.java:550,3(0),3(0)
Collection_UnsafeIteratorMonitor @ PlanarGraph.java:59,5(17),5(17)
Collection_UnsafeIteratorMonitor @ PlanarGraph.java:119,5(3),5(3)
Collection_UnsafeIteratorMonitor @ PointBuilder.java:70,3(0),2(0)
Collection_UnsafeIteratorMonitor @ PolygonBuilder.java:88,5(17),3(4)
Collection_UnsafeIteratorMonitor @ PolygonBuilder.java:106,3(19),3(19)
Collection_UnsafeIteratorMonitor @ PolygonBuilder.java:181,3(19),3(19)
Collection_UnsafeIteratorMonitor @ PolygonBuilder.java:207,3(19),2(18)
Collection_UnsafeIteratorMonitor @ PolygonBuilder.java:242,2(22),2(22)
Collection_UnsafeIteratorMonitor @ PolygonBuilder.java:272,2(6),2(6)
Collection_UnsafeIteratorMonitor @ PolygonRing.java:101,3(2),3(1)
Collection_UnsafeIteratorMonitor @ PolygonTopologyAnalyzer.java:370,6(10),6(10)
Collection_UnsafeIteratorMonitor @ RightmostEdgeFinder.java:59,2(17),2(17)
Collection_UnsafeIteratorMonitor @ STRtree.java:66,10(342),8(53)
Collection_UnsafeIteratorMonitor @ STRtree.java:154,23(32),23(32)
Collection_UnsafeIteratorMonitor @ SegmentIntersector.java:203,3(13),3(13)
Collection_UnsafeIteratorMonitor @ SegmentNodeList.java:70,4(36),4(36)
Collection_UnsafeIteratorMonitor @ SegmentNodeList.java:97,1(19),1(15)
Collection_UnsafeIteratorMonitor @ SimpleMCSweepLineIntersector.java:67,3(3),2(2)
Collection_UnsafeIteratorMonitor @ SimpleMCSweepLineIntersector.java:75,3(3),3(3)
Collection_UnsafeIteratorMonitor @ SubgraphDepthLocater.java:66,16(3),14(2)
Collection_UnsafeIteratorMonitor @ SubgraphDepthLocater.java:96,2(13),1(1)
Collection_UnsafeIteratorMonitor @ UnknownFieldSet.java:129,1(112),1(7)
Collection_UnsafeIteratorMonitor @ UnmodifiableLazyStringList.java:166,11(10059),9(512)
Collection_UnsafeIteratorMonitor @ VectorTileDecoder.java:147,3(355),2(27)
Collection_UnsafeIteratorMonitor @ VectorTileDecoder.java:161,2(1637),1(110)
Collection_UnsafeIteratorMonitor @ VectorTileDecoder.java:174,6(1002114),4(39996)
Collection_UnsafeIteratorMonitor @ VectorTileDecoder.java:198,2(1002118),2(19999)
Collection_UnsafeIteratorMonitor @ VectorTileDecoder.java:249,2(11),2(11)
Collection_UnsafeIteratorMonitor @ VectorTileDecoder.java:278,6(39),4(21)
Collection_UnsafeIteratorMonitor @ VectorTileDecoder.java:338,26(10045),7(514)
Collection_UnsafeIteratorMonitor @ VectorTileDecoder.java:359,31(10053),7(485)
Collection_UnsafeIteratorMonitor @ VectorTileDecoderTest.java:83,1(0),1(0)
Collection_UnsafeIteratorMonitor @ VectorTileDecoderTest.java:103,1(0),1(0)
Collection_UnsafeIteratorMonitor @ VectorTileDecoderTest.java:127,1(0),1(0)
Collection_UnsafeIteratorMonitor @ VectorTileDecoderTest.java:154,1(0),1(0)
Collection_UnsafeIteratorMonitor @ VectorTileDecoderTest.java:181,1(0),1(0)
Collection_UnsafeIteratorMonitor @ VectorTileDecoderTest.java:226,1(0),1(0)
Collection_UnsafeIteratorMonitor @ VectorTileDecoderTest.java:326,3(3),3(3)
Collection_UnsafeIteratorMonitor @ VectorTileEncoder.java:253,6(30),6(30)
Collection_UnsafeIteratorMonitor @ VectorTileEncoder.java:361,1(20),1(12)
Collection_UnsafeIteratorMonitor @ VectorTileEncoder.java:372,4(17),3(3)
Collection_UnsafeIteratorMonitor @ VectorTileEncoder.java:398,4(17),4(12)
Collection_UnsynchronizedAddAllMonitor @ LazyStringArrayList.java:89,1(20),1(20)
Collection_UnsynchronizedAddAllMonitor @ OverlayOp.java:604,1(2),1(2)
Collection_UnsynchronizedAddAllMonitor @ OverlayOp.java:605,1(2),1(2)
Collection_UnsynchronizedAddAllMonitor @ OverlayOp.java:606,1(2),1(2)
Collection_UnsynchronizedAddAllMonitor @ STRtree.java:138,1(110),1(40)
Collection_UnsynchronizedAddAllMonitor @ VectorTileDecoder.java:162,1(1640),1(78)
Collection_UnsynchronizedAddAllMonitor @ VectorTileDecoder.java:335,3(10078),1(491)
Collection_UnsynchronizedAddAllMonitor @ VectorTileEncoder.java:496,1(5),1(5)
Collection_UnsynchronizedAddAllMonitor @ VectorTileEncoder.java:510,1(11),1(11)
Collection_UnsynchronizedAddAllMonitor @ VectorTileEncoder.java:530,1(19),1(19)
Collection_UnsynchronizedAddAllMonitor @ VectorTileEncoder.java:537,1(12),1(9)
Collections_SortBeforeBinarySearchMonitor @ AbstractMessageLite.java:381,17(50),3(6)
Collections_SortBeforeBinarySearchMonitor @ AbstractNode.java:128,10(342),7(36)
Collections_SortBeforeBinarySearchMonitor @ AbstractSTRtree.java:144,6(105),1(9)
Collections_SortBeforeBinarySearchMonitor @ AbstractSTRtree.java:146,1(110),1(16)
Collections_SortBeforeBinarySearchMonitor @ AbstractSTRtree.java:265,17(16),17(16)
Collections_SortBeforeBinarySearchMonitor @ AbstractSTRtree.java:317,32(2307),4(139)
Collections_SortBeforeBinarySearchMonitor @ BufferBuilder.java:283,2(3),2(3)
Collections_SortBeforeBinarySearchMonitor @ BufferBuilder.java:324,2(3),2(3)
Collections_SortBeforeBinarySearchMonitor @ BufferCurveSetBuilder.java:130,2(3),2(3)
Collections_SortBeforeBinarySearchMonitor @ BufferSubgraph.java:115,1(18),1(3)
Collections_SortBeforeBinarySearchMonitor @ BufferSubgraph.java:130,2(17),2(17)
Collections_SortBeforeBinarySearchMonitor @ BufferSubgraph.java:133,2(17),2(17)
Collections_SortBeforeBinarySearchMonitor @ BufferSubgraph.java:179,2(17),2(5)
Collections_SortBeforeBinarySearchMonitor @ ComponentCoordinateExtracter.java:66,1(132),1(12)
Collections_SortBeforeBinarySearchMonitor @ DirectedEdgeStar.java:163,1(39),1(12)
Collections_SortBeforeBinarySearchMonitor @ DouglasPeuckerLineSimplifier.java:63,10(25),10(25)
Collections_SortBeforeBinarySearchMonitor @ EdgeIntersectionList.java:113,3(0),3(0)
Collections_SortBeforeBinarySearchMonitor @ EdgeList.java:50,5(3),5(3)
Collections_SortBeforeBinarySearchMonitor @ EdgeNodingValidator.java:54,3(0),3(0)
Collections_SortBeforeBinarySearchMonitor @ EdgeRing.java:75,3(0),3(0)
Collections_SortBeforeBinarySearchMonitor @ EdgeRing.java:128,4(29),4(29)
Collections_SortBeforeBinarySearchMonitor @ EdgeRing.java:200,5(12),5(12)
Collections_SortBeforeBinarySearchMonitor @ EdgeRing.java:207,8(8),7(6)
Collections_SortBeforeBinarySearchMonitor @ GeometryTransformer.java:269,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ GeometryTransformer.java:289,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ LazyStringArrayList.java:89,4(17),4(16)
Collections_SortBeforeBinarySearchMonitor @ LazyStringArrayList.java:179,4(17),4(13)
Collections_SortBeforeBinarySearchMonitor @ LazyStringArrayList.java:218,19(10123),9(557)
Collections_SortBeforeBinarySearchMonitor @ LinearComponentExtracter.java:203,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ MCIndexNoder.java:124,14(11),14(11)
Collections_SortBeforeBinarySearchMonitor @ MonotoneChainBuilder.java:56,20(128),1(9)
Collections_SortBeforeBinarySearchMonitor @ NodeMap.java:111,3(3),3(3)
Collections_SortBeforeBinarySearchMonitor @ OffsetSegmentString.java:65,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ OverlayOp.java:604,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ PlanarGraph.java:90,3(3),3(3)
Collections_SortBeforeBinarySearchMonitor @ PlanarGraph.java:95,5(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ PlanarGraph.java:121,5(3),3(1)
Collections_SortBeforeBinarySearchMonitor @ PolygonBuilder.java:94,3(19),3(19)
Collections_SortBeforeBinarySearchMonitor @ PolygonBuilder.java:122,3(19),2(9)
Collections_SortBeforeBinarySearchMonitor @ PolygonBuilder.java:185,2(14),1(7)
Collections_SortBeforeBinarySearchMonitor @ PolygonBuilder.java:188,2(6),2(6)
Collections_SortBeforeBinarySearchMonitor @ PolygonBuilder.java:275,2(6),2(6)
Collections_SortBeforeBinarySearchMonitor @ PolygonTopologyAnalyzer.java:343,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ PolygonTopologyAnalyzer.java:356,8(5),8(5)
Collections_SortBeforeBinarySearchMonitor @ PolygonTopologyAnalyzer.java:376,5(2),5(2)
Collections_SortBeforeBinarySearchMonitor @ STRtree.java:128,1(54),1(33)
Collections_SortBeforeBinarySearchMonitor @ STRtree.java:138,7(48),7(37)
Collections_SortBeforeBinarySearchMonitor @ STRtree.java:160,30(81),6(8)
Collections_SortBeforeBinarySearchMonitor @ SegmentNodeList.java:185,2(3),2(3)
Collections_SortBeforeBinarySearchMonitor @ SimpleMCSweepLineIntersector.java:88,6(3),6(3)
Collections_SortBeforeBinarySearchMonitor @ SortedPackedIntervalRTree.java:66,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ SortedPackedIntervalRTree.java:116,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ SubgraphDepthLocater.java:148,6(8),3(3)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:92,5(53),1(7)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:1625,15(1014723),2(19998)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:1658,243(1014613),31(50706)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:2865,34(10128),34(10128)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:2875,12(10130),12(540)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:2883,30(10112),25(583)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:4015,4(17),4(17)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:4456,3(12),1(1)
Collections_SortBeforeBinarySearchMonitor @ VectorTile.java:5281,1(20),1(19)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:114,6(1004111),3(29997)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:137,245(2003944),58(99961)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:151,2(356),2(36)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:162,2(1637),1(91)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:187,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:191,4(1002120),3(29998)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:194,1(1002115),1(10000)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:201,2(1002118),2(19998)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:242,6(24),6(23)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:334,4(41),1(11)
Collections_SortBeforeBinarySearchMonitor @ VectorTileDecoder.java:336,11(34),9(21)
Collections_SortBeforeBinarySearchMonitor @ VectorTileEncoder.java:258,3(27),3(23)
Collections_SortBeforeBinarySearchMonitor @ VectorTileEncoder.java:262,5(116),1(11)
Collections_SortBeforeBinarySearchMonitor @ VectorTileEncoder.java:496,1(2),1(1)
