Loc,Total,Default
Appendable_ThreadSafeMonitor @ BankAccountExample.java:139,1(189),1(20)
Appendable_ThreadSafeMonitor @ BeforeAfter.java:63,1(7),1(7)
Appendable_ThreadSafeMonitor @ BeforeAfter.java:68,1(10),1(10)
Appendable_ThreadSafeMonitor @ BeforeAfter.java:73,1(7),1(4)
Appendable_ThreadSafeMonitor @ BeforeAfter.java:79,1(2),1(2)
Appendable_ThreadSafeMonitor @ BeforeAfter.java:84,1(10),1(10)
Appendable_ThreadSafeMonitor @ BeforeAfter.java:89,1(7),1(7)
Appendable_ThreadSafeMonitor @ FactorSpaceUtils.java:54,1(26),1(5)
Appendable_ThreadSafeMonitor @ FactorSpaceUtils.java:59,1(18),1(16)
Appendable_ThreadSafeMonitor @ InternalUtils.java:140,1(1),1(1)
Appendable_ThreadSafeMonitor @ InternalUtils.java:299,13(6),13(6)
Appendable_ThreadSafeMonitor @ JUnit4Runner.java:68,1(932),1(64)
Appendable_ThreadSafeMonitor @ ParameterSpaceUtils.java:89,1(19),1(18)
Appendable_ThreadSafeMonitor @ ParameterSpaceUtils.java:93,1(8),1(8)
Appendable_ThreadSafeMonitor @ Parser.java:53,1(1286),1(67)
Appendable_ThreadSafeMonitor @ ParserTest.java:84,1(31),1(31)
Appendable_ThreadSafeMonitor @ ParserTest.java:92,1(31),1(31)
Appendable_ThreadSafeMonitor @ RegexTestUtils.java:18,1(107),1(25)
Appendable_ThreadSafeMonitor @ RegexTestUtils.java:31,1(139),1(11)
Appendable_ThreadSafeMonitor @ RegexTestUtils.java:44,1(207),1(12)
Appendable_ThreadSafeMonitor @ RegexTestUtils.java:49,1(43),1(2)
Appendable_ThreadSafeMonitor @ RegexTestUtils.java:55,5(431),3(47)
Appendable_ThreadSafeMonitor @ RegexTranslator.java:80,1(1977),1(99)
Appendable_ThreadSafeMonitor @ RegexTranslator.java:126,1(116),1(6)
Appendable_ThreadSafeMonitor @ SchemafulTupleSetUtils.java:11,1(11),1(11)
Appendable_ThreadSafeMonitor @ StringDescription.java:41,1(1),1(1)
Appendable_ThreadSafeMonitor @ Utils.java:129,1(0),1(0)
CharSequence_NotInMapMonitor @ Tuple.java:23,4(21422),1(1073)
CharSequence_NotInMapMonitor @ Tuple.java:41,5(7446146),1(9999)
Collection_UnsafeIteratorMonitor @ AllOf.java:26,8(64),2(6)
Collection_UnsafeIteratorMonitor @ BankAccountExample.java:101,5(58971),1(2957)
Collection_UnsafeIteratorMonitor @ BankAccountExample.java:125,3(187),1(13)
Collection_UnsafeIteratorMonitor @ CartesianEnumerator.java:20,28(33708),4(1687)
Collection_UnsafeIteratorMonitor @ CartesianEnumerator.java:32,10(7234007),1(9999)
Collection_UnsafeIteratorMonitor @ CartesianEnumerator.java:62,10(60114),10(60114)
Collection_UnsafeIteratorMonitor @ CartesianEnumerator.java:71,10(33726),4(1699)
Collection_UnsafeIteratorMonitor @ CartesianEnumerator.java:84,28(67444),8(3488)
Collection_UnsafeIteratorMonitor @ CartesianEnumeratorAdaptor.java:65,10(33726),5(1757)
Collection_UnsafeIteratorMonitor @ CartesianEnumeratorAdaptor.java:66,9(204152),6(10181)
Collection_UnsafeIteratorMonitor @ CartesianEnumeratorAdaptor.java:75,10(7234007),1(9999)
Collection_UnsafeIteratorMonitor @ CartesianEnumeratorAdaptor.java:83,9(10226),2(538)
Collection_UnsafeIteratorMonitor @ Cartesianator.java:81,3(254),2(49)
Collection_UnsafeIteratorMonitor @ Cartesianator.java:93,3(54),2(10)
Collection_UnsafeIteratorMonitor @ Domains.java:41,10(33726),4(1762)
Collection_UnsafeIteratorMonitor @ Every.java:17,1(0),1(0)
Collection_UnsafeIteratorMonitor @ InternalUtils.java:127,1(28),1(21)
Collection_UnsafeIteratorMonitor @ IpoGplus.java:161,35(91),3(20)
Collection_UnsafeIteratorMonitor @ IpoGplus.java:186,10(116),3(42)
Collection_UnsafeIteratorMonitor @ IpoGplus.java:306,5(206),1(11)
Collection_UnsafeIteratorMonitor @ IsCollectionContaining.java:24,1(0),1(0)
Collection_UnsafeIteratorMonitor @ JCUnit8.java:385,1(401),1(21)
Collection_UnsafeIteratorMonitor @ JCUnit8.java:400,1(399),1(38)
Collection_UnsafeIteratorMonitor @ JUnit4Runner.java:44,4(344),3(43)
Collection_UnsafeIteratorMonitor @ Joiner.java:84,1(5),1(5)
Collection_UnsafeIteratorMonitor @ Joiner.java:85,1(5),1(5)
Collection_UnsafeIteratorMonitor @ Joiner.java:106,1(1),1(1)
Collection_UnsafeIteratorMonitor @ Joiner.java:293,1(2),1(2)
Collection_UnsafeIteratorMonitor @ Joiner.java:294,1(5),1(5)
Collection_UnsafeIteratorMonitor @ Joiner.java:344,1(11),1(10)
Collection_UnsafeIteratorMonitor @ Matcher.java:47,6(44),3(13)
Collection_UnsafeIteratorMonitor @ Negative.java:85,1(6),1(6)
Collection_UnsafeIteratorMonitor @ ParserTest.java:103,7(25),1(5)
Collection_UnsafeIteratorMonitor @ Partitioner.java:48,2(92),2(49)
