Loc,Total,Default
Appendable_ThreadSafeMonitor @ ASNode.java:136,1(216),1(37)
Appendable_ThreadSafeMonitor @ ASNode.java:137,1(460),1(60)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:37,1(26),1(15)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:59,1(8),1(8)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:61,1(8),1(8)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:66,1(1059),1(62)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:69,1(1059),1(83)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:70,1(1059),1(68)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:76,1(1056),1(48)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:82,1(8),1(8)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:92,1(8),1(8)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:101,1(17),1(17)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:104,1(8),1(7)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:110,1(1059),1(60)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:111,1(1059),1(57)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:112,1(1059),1(54)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:115,1(1059),1(55)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:118,1(1059),1(59)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:128,1(1056),1(81)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:129,1(1056),1(108)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:130,1(1056),1(63)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:131,1(1056),1(81)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:139,1(8),1(2)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:149,1(8),1(7)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:157,1(17),1(5)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:160,1(8),1(7)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:167,1(1059),1(57)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:168,1(1059),1(88)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:169,1(1059),1(71)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:172,1(1059),1(58)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:175,1(1059),1(75)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:188,1(1056),1(87)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:189,1(1056),1(70)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:190,1(1056),1(61)
Appendable_ThreadSafeMonitor @ AbstractSyntaxTree.java:205,1(8),1(8)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:29,1(26),1(19)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:40,1(8),1(7)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:42,1(8),1(8)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:47,1(541),1(40)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:51,1(399),1(49)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:52,1(141),1(29)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:53,1(541),1(89)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:60,1(400),1(58)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:62,1(101),1(26)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:68,1(8),1(8)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:78,1(8),1(8)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:87,1(17),1(7)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:90,1(8),1(8)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:96,1(541),1(62)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:97,1(541),1(59)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:98,1(541),1(41)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:108,1(502),1(25)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:109,1(502),1(46)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:110,1(502),1(60)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:111,1(502),1(52)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:119,1(8),1(8)
Appendable_ThreadSafeMonitor @ ControlDependenceGraph.java:129,1(8),1(7)
