Loc,Total,Default
Appendable_ThreadSafeMonitor @ AnswerSet.java:115,1(616),1(39)
Appendable_ThreadSafeMonitor @ AnswerSet.java:122,1(616),1(37)
Appendable_ThreadSafeMonitor @ ResourceRecord.java:114,1(706),1(38)
Appendable_ThreadSafeMonitor @ ResourceRecord.java:115,1(706),1(47)
Appendable_ThreadSafeMonitor @ RubberTree.java:88,1(0),1(0)
Appendable_ThreadSafeMonitor @ RubberTree.java:100,1(3),1(3)
Appendable_ThreadSafeMonitor @ RubberTree.java:102,1(3),1(3)
Appendable_ThreadSafeMonitor @ RubberTree.java:130,1(0),1(0)
Appendable_ThreadSafeMonitor @ SimpleSignatureShuffleSharder.java:90,1(129999),1(6589)
Collection_UnsafeIteratorMonitor @ AnswerSet.java:62,3(89),1(8)
Collection_UnsafeIteratorMonitor @ Lattice.java:176,2(130598),2(6422)
Collection_UnsafeIteratorMonitor @ Lattice.java:229,4(261017),3(13003)
Collection_UnsafeIteratorMonitor @ Lattice.java:243,4(130673),3(6559)
Collection_UnsafeIteratorMonitor @ Lattice.java:258,2(390796),1(10000)
Collection_UnsafeIteratorMonitor @ Lattice.java:326,4(361),3(78)
Collection_UnsafeIteratorMonitor @ RubberTree.java:66,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RubberTree.java:71,1(3),1(3)
Collection_UnsafeIteratorMonitor @ RubberTree.java:89,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RubberTree.java:97,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RubberTree.java:98,1(1),1(1)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharder.java:105,2(129998),1(6584)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharder.java:120,2(109998),1(5528)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharder.java:135,1(19999),1(983)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:46,1(9999),1(538)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:64,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:97,1(99999),1(4986)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:106,1(99999),1(4936)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:110,1(99999),1(5017)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:124,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:162,1(9999),1(478)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:172,1(4967),1(248)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:177,1(5031),1(267)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:182,1(5031),1(246)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:187,1(4967),1(256)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:202,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:244,1(9999),1(464)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:254,1(3335),1(204)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:259,1(3289),1(185)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:264,1(3373),1(174)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:269,1(3348),1(176)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:274,1(3344),1(199)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:279,1(3305),1(138)
Collection_UnsafeIteratorMonitor @ SimpleSignatureShuffleSharderTests.java:294,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharder.java:135,3(503),2(40)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:93,1(99),1(22)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:136,1(44),1(26)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:145,1(44),1(44)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:149,1(44),1(21)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:188,1(19),1(6)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:198,1(9),1(4)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:203,1(9),1(9)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:208,1(9),1(9)
Collection_UnsafeIteratorMonitor @ StatefulSearchingShuffleSharderTests.java:213,1(9),1(9)
Collection_UnsynchronizedAddAllMonitor @ AnswerSet.java:65,1(706),1(65)
Collection_UnsynchronizedAddAllMonitor @ Lattice.java:197,1(42),1(30)
Collection_UnsynchronizedAddAllMonitor @ Lattice.java:230,1(501071),1(9999)
Collection_UnsynchronizedAddAllMonitor @ ResourceRecordSet.java:824,1(91),1(26)
Collection_UnsynchronizedAddAllMonitor @ RubberTree.java:60,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ RubberTree.java:114,1(3),1(3)
Collection_UnsynchronizedAddAllMonitor @ RubberTree.java:174,1(5),1(5)
Collection_UnsynchronizedAddAllMonitor @ RubberTree.java:179,1(79),1(8)
Collection_UnsynchronizedAddAllMonitor @ RubberTree.java:180,1(79),1(20)
Collection_UnsynchronizedAddAllMonitor @ RubberTree.java:191,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ RubberTree.java:192,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ RubberTree.java:197,1(7),1(7)
