Loc,Total,Default
Appendable_ThreadSafeMonitor @ AuxiliaryType.java:166,1(1),1(1)
Appendable_ThreadSafeMonitor @ ClassFileVersion.java:545,1(0),1(0)
Appendable_ThreadSafeMonitor @ EntryDefault.java:69,1(42),1(22)
Appendable_ThreadSafeMonitor @ FieldAccessor.java:361,1(1),1(1)
Appendable_ThreadSafeMonitor @ Implementation.java:1281,1(6),1(5)
Appendable_ThreadSafeMonitor @ Implementation.java:1458,1(1),1(1)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:226,1(6),1(6)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:1316,1(0),1(0)
Appendable_ThreadSafeMonitor @ JavaDispatcher.java:1383,1(0),1(0)
Appendable_ThreadSafeMonitor @ MethodCallProxy.java:145,1(1),1(1)
Appendable_ThreadSafeMonitor @ MethodDescription.java:523,3(24),2(6)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:184,1(1),1(1)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:186,1(2),1(2)
Appendable_ThreadSafeMonitor @ NamingStrategy.java:454,1(2),1(2)
Appendable_ThreadSafeMonitor @ NodePosition.java:36,1(0),1(0)
Appendable_ThreadSafeMonitor @ PointDouble.java:49,1(9),1(9)
Appendable_ThreadSafeMonitor @ PointFloat.java:73,1(29),1(29)
Appendable_ThreadSafeMonitor @ RTree.java:926,4(18),4(9)
Appendable_ThreadSafeMonitor @ RTree.java:934,1(17),1(17)
Appendable_ThreadSafeMonitor @ RTreeTest.java:135,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:156,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:163,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:164,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:499,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:607,1(4),1(4)
Appendable_ThreadSafeMonitor @ RTreeTest.java:611,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:626,1(4),1(4)
Appendable_ThreadSafeMonitor @ RTreeTest.java:630,1(0),1(0)
Appendable_ThreadSafeMonitor @ RTreeTest.java:667,1(6),1(6)
Appendable_ThreadSafeMonitor @ RTreeTest.java:668,1(6),1(6)
Appendable_ThreadSafeMonitor @ RandomString.java:49,1(0),1(0)
Appendable_ThreadSafeMonitor @ RectangleDouble.java:73,1(8),1(8)
