Loc,Total,Default
Appendable_ThreadSafeMonitor @ BestFactorAnalyzer.java:213,1(20973465),1(9999)
Appendable_ThreadSafeMonitor @ ConcatNode.java:65,1(545),1(69)
Appendable_ThreadSafeMonitor @ GlushkovPrefixExtender.java:102,1(262979),1(10000)
Appendable_ThreadSafeMonitor @ StringMatch.java:59,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ BitSetObjectMap.java:34,1(303),1(14)
Arrays_SortBeforeBinarySearchMonitor @ BitSetObjectMap.java:155,1(88),1(6)
Arrays_SortBeforeBinarySearchMonitor @ ByteObjectMap.java:34,1(8825),1(489)
Arrays_SortBeforeBinarySearchMonitor @ ByteObjectMap.java:156,1(1),1(1)
Arrays_SortBeforeBinarySearchMonitor @ CharObjectMap.java:34,1(532151),1(9999)
Arrays_SortBeforeBinarySearchMonitor @ CharObjectMap.java:156,1(312),1(58)
Arrays_SortBeforeBinarySearchMonitor @ DoubleArrayByteCompactTrie.java:46,1(66),1(18)
Arrays_SortBeforeBinarySearchMonitor @ DoubleArrayByteFallbackTrie.java:35,1(30),1(12)
Arrays_SortBeforeBinarySearchMonitor @ DoubleArrayCharCompactTrie.java:47,1(187),1(7)
Arrays_SortBeforeBinarySearchMonitor @ DoubleArrayCharCompactTrie.java:117,1(77),1(5)
Arrays_SortBeforeBinarySearchMonitor @ DoubleArrayCharFallbackTrie.java:35,1(176),1(16)
Arrays_SortBeforeBinarySearchMonitor @ DoubleArrayCharFallbackTrie.java:105,1(170),1(29)
Collection_UnsafeIteratorMonitor @ AhoCorasick.java:47,10(167),5(31)
Collection_UnsafeIteratorMonitor @ AhoCorasick.java:50,4(27),4(27)
Collection_UnsafeIteratorMonitor @ AlternativesNode.java:24,3(153),1(16)
Collection_UnsafeIteratorMonitor @ AlternativesNode.java:58,3(47),2(15)
Collection_UnsafeIteratorMonitor @ BPGlushkov.java:165,4(14),3(4)
Collection_UnsafeIteratorMonitor @ BestFactorAnalyzer.java:78,47(2916),6(158)
Collection_UnsafeIteratorMonitor @ BestFactorAnalyzer.java:177,8(186),2(15)
Collection_UnsafeIteratorMonitor @ BestFactorAnalyzer.java:211,84(1014),8(67)
Collection_UnsafeIteratorMonitor @ BestFactorAnalyzer.java:212,4(8390572),2(19998)
Collection_UnsafeIteratorMonitor @ BestFactorAnalyzer.java:222,2(129),2(6)
Collection_UnsafeIteratorMonitor @ BestFactorAnalyzer.java:233,7(151),4(22)
Collection_UnsafeIteratorMonitor @ BitMaskCharClassMapper.java:30,7(181),4(15)
Collection_UnsafeIteratorMonitor @ BitMaskCharClassMapper.java:42,7(181),2(12)
Collection_UnsafeIteratorMonitor @ BitMaskCharClassMapper.java:81,7(181),3(10)
Collection_UnsafeIteratorMonitor @ BufferedStringFinder.java:35,193(320),193(320)
Collection_UnsafeIteratorMonitor @ BufferedStringFinder.java:83,83(286),83(286)
Collection_UnsafeIteratorMonitor @ ByteUtils.java:46,4(89),4(27)
Collection_UnsafeIteratorMonitor @ ByteUtils.java:66,4(58),3(7)
Collection_UnsafeIteratorMonitor @ ByteWordSetBuilder.java:96,34(116),34(116)
Collection_UnsafeIteratorMonitor @ ByteWordSetBuilder.java:153,34(116),12(12)
Collection_UnsafeIteratorMonitor @ ByteWordSetBuilder.java:156,34(116),10(8)
Collection_UnsafeIteratorMonitor @ CaseInsensitive.java:106,4(56),3(22)
Collection_UnsafeIteratorMonitor @ CharNode.java:31,2(574),1(79)
Collection_UnsafeIteratorMonitor @ CharNode.java:33,3(573),3(66)
Collection_UnsafeIteratorMonitor @ CharUtils.java:87,4(330),1(20)
Collection_UnsafeIteratorMonitor @ CharUtils.java:109,4(330),1(22)
Collection_UnsafeIteratorMonitor @ CharUtils.java:121,10(425),1(18)
Collection_UnsafeIteratorMonitor @ CharUtils.java:141,4(168),3(23)
Collection_UnsafeIteratorMonitor @ CharUtils.java:161,4(29),4(3)
Collection_UnsafeIteratorMonitor @ CharUtils.java:166,4(29),4(24)
Collection_UnsafeIteratorMonitor @ CharWordSetBuilder.java:96,32(425),10(43)
Collection_UnsafeIteratorMonitor @ CharWordSetBuilder.java:153,32(425),10(21)
