Loc,Total,Default
Appendable_ThreadSafeMonitor @ Pair.java:49,1(25),1(9)
Arrays_SortBeforeBinarySearchMonitor @ AhoCorasickDoubleArrayTrie.java:714,1(0),1(0)
Closeable_MultipleCloseMonitor @ FinalSeg.java:100,1(0),1(0)
Closeable_MultipleCloseMonitor @ Tokenizer.java:74,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:743,302(846857),28(42349)
Collection_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:775,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:792,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:804,301(497812),15(25267)
Collection_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:830,7(497692),1(9999)
Collection_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:945,303(497811),12(25207)
Collection_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:950,303(497811),15(24833)
Collection_UnsafeIteratorMonitor @ FinalSeg.java:185,3(70007),3(3440)
Collection_UnsafeIteratorMonitor @ FinalSeg.java:188,8(53999),4(2800)
Collection_UnsafeIteratorMonitor @ Jaba.java:55,11(84993),5(4259)
Collection_UnsafeIteratorMonitor @ Jaba.java:67,3(47010),2(2376)
Collection_UnsafeIteratorMonitor @ JabaCutTest.java:138,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SentenceDAG.java:34,4(1112167),2(20001)
Collection_UnsafeIteratorMonitor @ State.java:120,4(698086),1(9999)
Collection_UnsafeIteratorMonitor @ State.java:130,7(485791),2(19998)
Collection_UnsafeIteratorMonitor @ TFIDFAnalyzer.java:43,2(0),2(0)
Collection_UnsafeIteratorMonitor @ TFIDFAnalyzer.java:73,2(0),2(0)
Collection_UnsynchronizedAddAllMonitor @ FinalSeg.java:197,1(24005),1(1227)
Collection_UnsynchronizedAddAllMonitor @ Jaba.java:59,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ Jaba.java:61,1(121014),1(6072)
Collection_UnsynchronizedAddAllMonitor @ Jaba.java:71,1(46011),1(2421)
Collection_UnsynchronizedAddAllMonitor @ Jaba.java:120,1(70009),1(3542)
Collection_UnsynchronizedAddAllMonitor @ Jaba.java:122,1(999),1(71)
Collections_SortBeforeBinarySearchMonitor @ AhoCorasickDoubleArrayTrie.java:412,33(108982),33(108982)
Collections_SortBeforeBinarySearchMonitor @ AhoCorasickDoubleArrayTrie.java:741,301(348744),15(17463)
Collections_SortBeforeBinarySearchMonitor @ AhoCorasickDoubleArrayTrie.java:745,47(149022),8(7450)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:119,10(53997),9(2802)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:157,10(53997),8(2722)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:168,5(12997),3(639)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:171,8(40997),5(2098)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:192,11(47995),10(2457)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:197,3(22001),2(1096)
Collections_SortBeforeBinarySearchMonitor @ Jaba.java:59,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Jaba.java:61,14(80989),4(4110)
Collections_SortBeforeBinarySearchMonitor @ Jaba.java:71,2(1998),2(93)
Collections_SortBeforeBinarySearchMonitor @ Jaba.java:116,14(21987),9(1083)
Collections_SortBeforeBinarySearchMonitor @ Jaba.java:120,11(37991),4(1849)
Collections_SortBeforeBinarySearchMonitor @ Jaba.java:147,46(60966),46(60966)
Collections_SortBeforeBinarySearchMonitor @ Jaba.java:164,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ RegexSplitUtils.java:21,8(226026),4(11383)
Collections_SortBeforeBinarySearchMonitor @ RegexSplitUtils.java:31,10(224024),4(11218)
Collections_SortBeforeBinarySearchMonitor @ SentenceDAG.java:56,4(987154),2(19998)
Collections_SortBeforeBinarySearchMonitor @ SentenceDAG.java:60,1(125021),1(6256)
Collections_SortBeforeBinarySearchMonitor @ TFIDFAnalyzer.java:44,2(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Tokenizer.java:64,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Tokenizer.java:65,1(0),1(0)
InputStream_ManipulateAfterCloseMonitor @ FinalSeg.java:100,1(0),1(0)
InputStream_ManipulateAfterCloseMonitor @ Tokenizer.java:74,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ FinalSeg.java:100,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ Tokenizer.java:74,1(0),1(0)
Iterator_HasNextMonitor @ AhoCorasickDoubleArrayTrie.java:743,302(846857),16(42321)
Iterator_HasNextMonitor @ AhoCorasickDoubleArrayTrie.java:775,1(0),1(0)
Iterator_HasNextMonitor @ AhoCorasickDoubleArrayTrie.java:792,1(0),1(0)
Iterator_HasNextMonitor @ AhoCorasickDoubleArrayTrie.java:804,301(497812),27(24708)
Iterator_HasNextMonitor @ AhoCorasickDoubleArrayTrie.java:833,7(497692),1(10000)
Iterator_HasNextMonitor @ AhoCorasickDoubleArrayTrie.java:945,303(497811),17(24850)
Iterator_HasNextMonitor @ AhoCorasickDoubleArrayTrie.java:950,303(497811),20(24922)
Iterator_HasNextMonitor @ FinalSeg.java:185,3(70007),3(3479)
Iterator_HasNextMonitor @ FinalSeg.java:188,8(53999),2(2605)
Iterator_HasNextMonitor @ Jaba.java:55,11(84993),4(4232)
Iterator_HasNextMonitor @ Jaba.java:67,3(47010),2(2388)
Iterator_HasNextMonitor @ JabaCutTest.java:138,1(0),1(0)
Iterator_HasNextMonitor @ SentenceDAG.java:34,4(1112167),2(19998)
Iterator_HasNextMonitor @ State.java:120,1(698089),1(10000)
Iterator_HasNextMonitor @ State.java:130,7(485791),2(19998)
Iterator_HasNextMonitor @ TFIDFAnalyzer.java:43,2(0),2(0)
Iterator_HasNextMonitor @ TFIDFAnalyzer.java:73,2(0),2(0)
Iterator_RemoveOnceMonitor @ AhoCorasickDoubleArrayTrie.java:743,301(200769),17(9963)
Iterator_RemoveOnceMonitor @ AhoCorasickDoubleArrayTrie.java:775,1(0),1(0)
Iterator_RemoveOnceMonitor @ AhoCorasickDoubleArrayTrie.java:792,1(0),1(0)
Iterator_RemoveOnceMonitor @ AhoCorasickDoubleArrayTrie.java:804,300(200769),300(200769)
Iterator_RemoveOnceMonitor @ AhoCorasickDoubleArrayTrie.java:833,7(497692),1(10000)
Iterator_RemoveOnceMonitor @ AhoCorasickDoubleArrayTrie.java:945,303(497811),18(24818)
Iterator_RemoveOnceMonitor @ AhoCorasickDoubleArrayTrie.java:950,303(497811),22(24794)
Iterator_RemoveOnceMonitor @ FinalSeg.java:185,3(70007),3(3596)
Iterator_RemoveOnceMonitor @ FinalSeg.java:188,8(53999),7(2745)
Iterator_RemoveOnceMonitor @ Jaba.java:55,10(82994),5(4118)
Iterator_RemoveOnceMonitor @ Jaba.java:67,3(47010),3(2430)
Iterator_RemoveOnceMonitor @ JabaCutTest.java:138,1(0),1(0)
Iterator_RemoveOnceMonitor @ SentenceDAG.java:34,4(1112167),2(19998)
Iterator_RemoveOnceMonitor @ State.java:120,1(698089),1(10000)
Iterator_RemoveOnceMonitor @ State.java:130,6(485791),1(9999)
Iterator_RemoveOnceMonitor @ TFIDFAnalyzer.java:43,2(0),2(0)
Iterator_RemoveOnceMonitor @ TFIDFAnalyzer.java:73,2(0),2(0)
List_UnsynchronizedSubListMonitor @ TFIDFAnalyzer.java:48,1(0),1(0)
Map_CollectionViewAddMonitor @ AhoCorasickDoubleArrayTrie.java:714,1(0),1(0)
Map_CollectionViewAddMonitor @ AhoCorasickDoubleArrayTrie.java:716,1(0),1(0)
Map_CollectionViewAddMonitor @ AhoCorasickDoubleArrayTrie.java:849,1(0),1(0)
Map_CollectionViewAddMonitor @ AhoCorasickDoubleArrayTrie.java:952,1(847157),1(10000)
Map_CollectionViewAddMonitor @ State.java:229,1(0),1(0)
Map_CollectionViewAddMonitor @ State.java:234,1(498112),1(10000)
Map_CollectionViewAddMonitor @ TFIDFAnalyzer.java:43,1(1),1(1)
Map_CollectionViewAddMonitor @ TFIDFAnalyzer.java:71,1(1),1(1)
Map_CollectionViewAddMonitor @ TFIDFAnalyzer.java:73,1(1),1(1)
Map_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:714,1(0),1(0)
Map_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:716,1(0),1(0)
Map_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:743,302(846857),22(42243)
Map_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:775,1(0),1(0)
Map_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:792,1(0),1(0)
Map_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:804,301(497812),25(24853)
Map_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:849,1(0),1(0)
Map_UnsafeIteratorMonitor @ AhoCorasickDoubleArrayTrie.java:952,1(847157),1(9999)
Map_UnsafeIteratorMonitor @ State.java:229,1(0),1(0)
Map_UnsafeIteratorMonitor @ State.java:234,1(498112),1(9999)
Map_UnsafeIteratorMonitor @ TFIDFAnalyzer.java:43,3(1),3(1)
Map_UnsafeIteratorMonitor @ TFIDFAnalyzer.java:71,1(1),1(1)
Map_UnsafeIteratorMonitor @ TFIDFAnalyzer.java:73,3(1),2(1)
StringBuilder_ThreadSafeMonitor @ Pair.java:49,1(25),1(8)
__TOTAL__,4966(22127173),848(1086374)
