Loc,Total,Default
Appendable_ThreadSafeMonitor @ FsmMorphologicalAnalyzer.java:475,1(137),1(65)
Appendable_ThreadSafeMonitor @ FsmParse.java:540,1(98),1(14)
Appendable_ThreadSafeMonitor @ FsmParse.java:543,1(80),1(27)
Appendable_ThreadSafeMonitor @ FsmParse.java:579,1(4),1(3)
Appendable_ThreadSafeMonitor @ FsmParse.java:582,1(11),1(2)
Appendable_ThreadSafeMonitor @ FsmParse.java:635,1(41),1(10)
Appendable_ThreadSafeMonitor @ FsmParse.java:665,1(574),1(47)
Appendable_ThreadSafeMonitor @ FsmParse.java:667,1(79),1(48)
Appendable_ThreadSafeMonitor @ FsmParse.java:682,1(145),1(27)
Appendable_ThreadSafeMonitor @ FsmParse.java:685,1(181),1(46)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:35,1(1354),1(78)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:62,1(277),1(59)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:65,1(1246),1(68)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:87,1(86),1(26)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:99,1(4795),1(271)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:108,1(900),1(44)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:137,1(0),1(0)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:165,1(284),1(69)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:168,1(896),1(49)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:171,1(455),1(27)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:174,1(5326),1(298)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:190,1(18),1(18)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:208,1(118),1(25)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:210,1(216),1(12)
Appendable_ThreadSafeMonitor @ Sentence.java:228,1(29),1(6)
Appendable_ThreadSafeMonitor @ Transition.java:117,1(9903),1(504)
Appendable_ThreadSafeMonitor @ Transition.java:256,1(3625),1(203)
Appendable_ThreadSafeMonitor @ Transition.java:263,1(13),1(13)
Appendable_ThreadSafeMonitor @ Transition.java:277,1(90),1(10)
Appendable_ThreadSafeMonitor @ Transition.java:290,1(19),1(2)
Appendable_ThreadSafeMonitor @ Transition.java:304,1(4),1(4)
Appendable_ThreadSafeMonitor @ Transition.java:310,1(72),1(61)
Appendable_ThreadSafeMonitor @ Transition.java:335,1(7),1(7)
Appendable_ThreadSafeMonitor @ Transition.java:351,1(90),1(35)
Appendable_ThreadSafeMonitor @ Transition.java:357,1(15),1(4)
Appendable_ThreadSafeMonitor @ Transition.java:373,1(285),1(38)
Appendable_ThreadSafeMonitor @ Transition.java:394,1(46),1(7)
Appendable_ThreadSafeMonitor @ Transition.java:430,1(801),1(57)
Appendable_ThreadSafeMonitor @ Transition.java:432,1(16227),1(818)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:367,1(602),1(39)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:370,1(779),1(54)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:373,1(1163),1(73)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:377,1(18293),1(915)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:433,1(503),1(70)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:445,1(74),1(7)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:450,1(20),1(18)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:453,1(125),1(18)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:456,1(74),1(25)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:459,1(821),1(49)
Appendable_ThreadSafeMonitor @ TxtDictionary.java:478,1(77),1(17)
Appendable_ThreadSafeMonitor @ XmlDocument.java:68,1(114149),1(5713)
Closeable_MultipleCloseMonitor @ NGram.java:87,1(1),1(1)
Collection_UnsafeIteratorMonitor @ FiniteStateMachine.java:148,141(2016),141(2016)
Collection_UnsafeIteratorMonitor @ FsmMorphologicalAnalyzer.java:616,9(154),9(95)
Collection_UnsafeIteratorMonitor @ FsmMorphologicalAnalyzer.java:662,19(3251),6(171)
Collection_UnsafeIteratorMonitor @ FsmParse.java:662,9(230),2(11)
Collection_UnsafeIteratorMonitor @ FsmParseList.java:140,4(16),4(13)
Collection_UnsafeIteratorMonitor @ FsmParseList.java:168,2(0),2(0)
Collection_UnsafeIteratorMonitor @ NGramDeasciifier.java:106,3(14),3(2)
Collection_UnsafeIteratorMonitor @ NGramNode.java:150,371(95182),371(95182)
Collection_UnsafeIteratorMonitor @ NGramNode.java:187,371(95182),371(95182)
Collection_UnsafeIteratorMonitor @ NGramNode.java:195,1(2),1(2)
Collection_UnsafeIteratorMonitor @ XmlElement.java:64,6(10557),4(526)
Collection_UnsynchronizedAddAllMonitor @ Trie.java:44,1(325),1(19)
Collections_SortBeforeBinarySearchMonitor @ FiniteStateMachine.java:52,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ FiniteStateMachine.java:173,31(242),31(242)
Collections_SortBeforeBinarySearchMonitor @ FiniteStateMachine.java:195,17(67),17(67)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:427,8(12),7(10)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:431,3(0),3(0)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:483,27(41),27(41)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:500,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:513,3(1),3(1)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:517,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:521,15(29),11(9)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:549,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ FsmMorphologicalAnalyzer.java:771,5(28),4(13)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:117,1(491),1(35)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:119,1(491),1(40)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:137,2(25),1(5)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:140,1(41),1(41)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:142,3(66),1(4)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:244,1(437),1(38)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:246,1(369),1(36)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:325,10(2768),1(120)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:329,10(2768),2(121)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:333,9(2331),1(128)
Collections_SortBeforeBinarySearchMonitor @ FsmParse.java:337,5(741),3(56)
Collections_SortBeforeBinarySearchMonitor @ FsmParseList.java:65,1(129),1(11)
Collections_SortBeforeBinarySearchMonitor @ InflectionalGroup.java:108,4(80),4(15)
Collections_SortBeforeBinarySearchMonitor @ InflectionalGroup.java:117,1(17),1(8)
Collections_SortBeforeBinarySearchMonitor @ NGramDeasciifier.java:95,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ Sentence.java:83,6(9),6(9)
Collections_SortBeforeBinarySearchMonitor @ Sentence.java:171,6(6),6(6)
Collections_SortBeforeBinarySearchMonitor @ SimpleDeasciifier.java:99,5(11),5(11)
Collections_SortBeforeBinarySearchMonitor @ TxtDictionary.java:282,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ TxtWord.java:54,8(186361),4(9485)
Collections_SortBeforeBinarySearchMonitor @ XmlElement.java:89,4(3476),2(186)
Console_CloseReaderMonitor @ NGram.java:87,1(1),1(1)
Iterator_HasNextMonitor @ FiniteStateMachine.java:148,141(2016),141(2016)
Iterator_HasNextMonitor @ FsmMorphologicalAnalyzer.java:616,9(154),4(18)
Iterator_HasNextMonitor @ FsmMorphologicalAnalyzer.java:662,19(3251),6(208)
Iterator_HasNextMonitor @ FsmParse.java:662,9(230),2(20)
Iterator_HasNextMonitor @ FsmParseList.java:140,4(16),3(6)
Iterator_HasNextMonitor @ FsmParseList.java:168,2(0),2(0)
Iterator_HasNextMonitor @ NGramDeasciifier.java:106,3(14),3(2)
Iterator_HasNextMonitor @ NGramNode.java:150,371(95182),371(95182)
Iterator_HasNextMonitor @ NGramNode.java:187,371(95182),30(4693)
Iterator_HasNextMonitor @ NGramNode.java:195,1(2),1(2)
Iterator_HasNextMonitor @ XmlElement.java:64,6(10557),3(508)
Iterator_RemoveOnceMonitor @ FiniteStateMachine.java:148,141(2016),141(2016)
Iterator_RemoveOnceMonitor @ FsmMorphologicalAnalyzer.java:616,8(137),5(21)
Iterator_RemoveOnceMonitor @ FsmMorphologicalAnalyzer.java:662,18(2436),2(118)
Iterator_RemoveOnceMonitor @ FsmParse.java:662,8(193),2(12)
Iterator_RemoveOnceMonitor @ FsmParseList.java:140,4(16),4(16)
Iterator_RemoveOnceMonitor @ FsmParseList.java:168,2(0),2(0)
Iterator_RemoveOnceMonitor @ NGramDeasciifier.java:106,2(14),2(6)
Iterator_RemoveOnceMonitor @ NGramNode.java:150,371(95182),27(4812)
Iterator_RemoveOnceMonitor @ NGramNode.java:187,371(95182),26(4705)
Iterator_RemoveOnceMonitor @ NGramNode.java:195,1(2),1(2)
Iterator_RemoveOnceMonitor @ XmlElement.java:64,4(10559),4(554)
Map_CollectionViewAddMonitor @ NGramNode.java:150,2(63700),1(3123)
Map_CollectionViewAddMonitor @ NGramNode.java:195,2(0),2(0)
Map_UnsafeIteratorMonitor @ NGramNode.java:150,1145(158110),52(7762)
Map_UnsafeIteratorMonitor @ NGramNode.java:187,1125(94428),1125(94427)
Map_UnsafeIteratorMonitor @ NGramNode.java:195,5(0),5(0)
Reader_ManipulateAfterCloseMonitor @ NGram.java:87,1(1),1(1)
StringBuilder_ThreadSafeMonitor @ FsmMorphologicalAnalyzer.java:475,1(137),1(12)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:540,1(98),1(16)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:543,1(80),1(23)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:579,1(4),1(4)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:582,1(11),1(11)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:635,1(41),1(25)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:665,1(574),1(68)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:667,1(79),1(27)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:682,1(145),1(13)
StringBuilder_ThreadSafeMonitor @ FsmParse.java:685,1(181),1(19)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:35,1(1354),1(98)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:62,1(277),1(88)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:65,1(1246),1(98)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:87,1(86),1(3)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:99,1(4795),1(280)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:108,1(900),1(119)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:137,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:165,1(284),1(17)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:168,1(896),1(83)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:171,1(455),1(35)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:174,1(5326),1(300)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:190,1(18),1(17)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:208,1(118),1(38)
StringBuilder_ThreadSafeMonitor @ MorphotacticEngine.java:210,1(216),1(11)
StringBuilder_ThreadSafeMonitor @ Sentence.java:228,1(29),1(5)
StringBuilder_ThreadSafeMonitor @ Transition.java:117,1(9903),1(500)
StringBuilder_ThreadSafeMonitor @ Transition.java:256,1(3625),1(197)
StringBuilder_ThreadSafeMonitor @ Transition.java:263,1(13),1(7)
StringBuilder_ThreadSafeMonitor @ Transition.java:277,1(90),1(30)
StringBuilder_ThreadSafeMonitor @ Transition.java:290,1(19),1(9)
StringBuilder_ThreadSafeMonitor @ Transition.java:304,1(4),1(4)
StringBuilder_ThreadSafeMonitor @ Transition.java:310,1(72),1(25)
StringBuilder_ThreadSafeMonitor @ Transition.java:335,1(7),1(7)
StringBuilder_ThreadSafeMonitor @ Transition.java:351,1(90),1(19)
StringBuilder_ThreadSafeMonitor @ Transition.java:357,1(15),1(15)
StringBuilder_ThreadSafeMonitor @ Transition.java:373,1(285),1(26)
StringBuilder_ThreadSafeMonitor @ Transition.java:394,1(46),1(16)
StringBuilder_ThreadSafeMonitor @ Transition.java:430,1(801),1(45)
StringBuilder_ThreadSafeMonitor @ Transition.java:432,1(16227),1(840)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:367,1(602),1(90)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:370,1(779),1(36)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:373,1(1163),1(60)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:377,1(18293),1(890)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:433,1(503),1(34)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:445,1(74),1(30)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:450,1(20),1(9)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:453,1(125),1(21)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:456,1(74),1(24)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:459,1(821),1(51)
StringBuilder_ThreadSafeMonitor @ TxtDictionary.java:478,1(77),1(42)
StringBuilder_ThreadSafeMonitor @ XmlDocument.java:68,1(114149),1(5727)
Throwable_InitCauseOnceMonitor @ NGramNode.java:317,1(2),1(2)
__TOTAL__,5382(1507014),3140(444465)
