Loc,Total,Default
Appendable_ThreadSafeMonitor @ FsmMorphologicalAnalyzer.java:394,1(3),1(3)
Appendable_ThreadSafeMonitor @ FsmMorphologicalAnalyzer.java:401,1(7),1(7)
Appendable_ThreadSafeMonitor @ FsmMorphologicalAnalyzer.java:404,1(12),1(9)
Appendable_ThreadSafeMonitor @ FsmMorphologicalAnalyzer.java:410,1(27),1(15)
Appendable_ThreadSafeMonitor @ FsmMorphologicalAnalyzer.java:475,1(4907),1(220)
Appendable_ThreadSafeMonitor @ FsmParse.java:40,1(100),1(6)
Appendable_ThreadSafeMonitor @ FsmParse.java:65,1(185),1(66)
Appendable_ThreadSafeMonitor @ FsmParse.java:401,1(220),1(23)
Appendable_ThreadSafeMonitor @ FsmParse.java:404,1(569),1(103)
Appendable_ThreadSafeMonitor @ FsmParse.java:407,1(40),1(31)
Appendable_ThreadSafeMonitor @ FsmParse.java:410,1(22),1(9)
Appendable_ThreadSafeMonitor @ FsmParse.java:413,1(156),1(25)
Appendable_ThreadSafeMonitor @ FsmParse.java:416,1(66),1(35)
Appendable_ThreadSafeMonitor @ FsmParse.java:419,1(19),1(9)
Appendable_ThreadSafeMonitor @ FsmParse.java:425,1(79),1(49)
Appendable_ThreadSafeMonitor @ FsmParse.java:540,1(9999),1(517)
Appendable_ThreadSafeMonitor @ FsmParse.java:543,1(10000),1(523)
Appendable_ThreadSafeMonitor @ FsmParse.java:546,1(2690),1(135)
Appendable_ThreadSafeMonitor @ FsmParse.java:549,1(206),1(19)
Appendable_ThreadSafeMonitor @ FsmParse.java:552,1(15),1(8)
Appendable_ThreadSafeMonitor @ FsmParse.java:555,1(893),1(46)
Appendable_ThreadSafeMonitor @ FsmParse.java:558,1(8454),1(455)
Appendable_ThreadSafeMonitor @ FsmParse.java:561,1(30),1(13)
Appendable_ThreadSafeMonitor @ FsmParse.java:564,1(34),1(10)
Appendable_ThreadSafeMonitor @ FsmParse.java:567,1(41),1(17)
Appendable_ThreadSafeMonitor @ FsmParse.java:570,1(2),1(2)
Appendable_ThreadSafeMonitor @ FsmParse.java:573,1(340),1(33)
Appendable_ThreadSafeMonitor @ FsmParse.java:576,1(1745),1(96)
Appendable_ThreadSafeMonitor @ FsmParse.java:579,1(1620),1(112)
Appendable_ThreadSafeMonitor @ FsmParse.java:582,1(2975),1(166)
Appendable_ThreadSafeMonitor @ FsmParse.java:585,1(6838),1(364)
Appendable_ThreadSafeMonitor @ FsmParse.java:591,1(74),1(7)
Appendable_ThreadSafeMonitor @ FsmParse.java:594,1(18),1(16)
Appendable_ThreadSafeMonitor @ FsmParse.java:607,1(279),1(68)
Appendable_ThreadSafeMonitor @ FsmParse.java:610,1(185),1(33)
Appendable_ThreadSafeMonitor @ FsmParse.java:616,1(91),1(17)
Appendable_ThreadSafeMonitor @ FsmParse.java:619,1(9),1(9)
Appendable_ThreadSafeMonitor @ FsmParse.java:621,1(578),1(30)
Appendable_ThreadSafeMonitor @ FsmParse.java:632,1(60),1(23)
Appendable_ThreadSafeMonitor @ FsmParse.java:635,1(10000),1(514)
Appendable_ThreadSafeMonitor @ FsmParse.java:665,1(9999),1(532)
Appendable_ThreadSafeMonitor @ FsmParse.java:667,1(9999),1(505)
Appendable_ThreadSafeMonitor @ FsmParse.java:682,1(9999),1(529)
Appendable_ThreadSafeMonitor @ FsmParse.java:685,1(9999),1(555)
Appendable_ThreadSafeMonitor @ FsmParseList.java:301,1(3865),1(199)
Appendable_ThreadSafeMonitor @ InflectionalGroup.java:150,1(9999),1(472)
Appendable_ThreadSafeMonitor @ MorphologicalParse.java:122,1(9328),1(457)
Appendable_ThreadSafeMonitor @ MorphologicalParse.java:230,1(9999),1(509)
Appendable_ThreadSafeMonitor @ MorphologicalParse.java:1002,1(9999),1(491)
Appendable_ThreadSafeMonitor @ MorphologicalParse.java:1004,1(5631),1(291)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:19,1(45),1(13)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:24,1(12),1(12)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:35,1(9999),1(490)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:40,1(2712),1(153)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:48,1(256),1(32)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:52,1(54),1(52)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:55,1(228),1(21)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:57,1(752),1(90)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:62,1(9999),1(487)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:65,1(9999),1(525)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:73,1(5940),1(303)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:80,1(514),1(45)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:84,1(198),1(25)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:87,1(9999),1(575)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:90,1(1734),1(104)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:96,1(2082),1(112)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:99,1(9999),1(490)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:105,1(236),1(24)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:108,1(9999),1(501)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:123,1(9586),1(446)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:133,1(17),1(17)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:137,1(129),1(29)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:141,1(53),1(13)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:145,1(56),1(13)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:151,1(46),1(6)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:154,1(87),1(26)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:157,1(20),1(14)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:160,1(113),1(19)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:165,1(9999),1(592)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:168,1(9999),1(538)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:171,1(9999),1(502)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:174,1(9999),1(566)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:179,1(484),1(44)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:183,1(967),1(74)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:187,1(639),1(58)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:190,1(4024),1(203)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:208,1(6796),1(339)
Appendable_ThreadSafeMonitor @ MorphotacticEngine.java:210,1(10000),1(505)
Appendable_ThreadSafeMonitor @ Transition.java:116,1(9999),1(524)
Appendable_ThreadSafeMonitor @ Transition.java:255,1(9999),1(512)
Appendable_ThreadSafeMonitor @ Transition.java:262,1(265),1(40)
Appendable_ThreadSafeMonitor @ Transition.java:276,1(9999),1(540)
