Loc,Total,Default
Appendable_ThreadSafeMonitor @ SentiSynSet.java:65,1(2),1(2)
Appendable_ThreadSafeMonitor @ SentiSynSet.java:66,1(2),1(2)
Appendable_ThreadSafeMonitor @ SentiSynSet.java:67,1(2),1(2)
Appendable_ThreadSafeMonitor @ XmlDocument.java:68,1(31664802),1(10000)
Closeable_MultipleCloseMonitor @ SentiSynSetTest.java:27,1(0),1(0)
Closeable_MultipleCloseMonitor @ SentiSynSetTest.java:35,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SentiLiteralNet.java:78,1(2),1(2)
Collection_UnsafeIteratorMonitor @ SentiNet.java:97,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ SentiLiteralNet.java:80,3(0),3(0)
Collections_SortBeforeBinarySearchMonitor @ SentiNet.java:99,3(0),3(0)
Console_CloseWriterMonitor @ SentiSynSetTest.java:27,1(0),1(0)
Iterator_HasNextMonitor @ SentiLiteralNet.java:78,1(2),1(2)
Iterator_HasNextMonitor @ SentiNet.java:97,1(2),1(2)
Iterator_RemoveOnceMonitor @ SentiLiteralNet.java:78,1(2),1(2)
Iterator_RemoveOnceMonitor @ SentiNet.java:97,1(2),1(2)
Map_CollectionViewAddMonitor @ SentiLiteralNet.java:78,1(2),1(2)
Map_CollectionViewAddMonitor @ SentiNet.java:97,1(2),1(2)
Map_UnsafeIteratorMonitor @ SentiLiteralNet.java:78,2(4),2(4)
Map_UnsafeIteratorMonitor @ SentiNet.java:97,2(4),2(4)
Scanner_SearchAfterCloseMonitor @ SentiSynSetTest.java:35,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ SentiSynSet.java:65,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ SentiSynSet.java:66,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ SentiSynSet.java:67,1(2),1(2)
StringBuilder_ThreadSafeMonitor @ XmlDocument.java:68,1(31664802),1(9999)
Writer_ManipulateAfterCloseMonitor @ SentiSynSetTest.java:27,1(0),1(0)
__TOTAL__,31(63329640),31(20035)
