Loc,Total,Default
Appendable_ThreadSafeMonitor @ WordNet.java:574,1(0),1(0)
Appendable_ThreadSafeMonitor @ WordNet.java:577,1(3),1(3)
Appendable_ThreadSafeMonitor @ WordNet.java:583,1(0),1(0)
Appendable_ThreadSafeMonitor @ WordNet.java:584,1(0),1(0)
Appendable_ThreadSafeMonitor @ WordNet.java:586,1(3),1(3)
Appendable_ThreadSafeMonitor @ WordNet.java:587,1(1),1(1)
Appendable_ThreadSafeMonitor @ WordNet.java:589,1(0),1(0)
Appendable_ThreadSafeMonitor @ WordNet.java:590,1(0),1(0)
Appendable_ThreadSafeMonitor @ XmlDocument.java:68,1(9999),1(553)
Collection_UnsafeIteratorMonitor @ Synonym.java:43,21(7833),4(414)
Collection_UnsafeIteratorMonitor @ WordNet.java:461,37(5578),15(283)
Collection_UnsafeIteratorMonitor @ WordNet.java:492,1(2),1(2)
Collection_UnsafeIteratorMonitor @ WordNet.java:564,2(8),1(2)
Collection_UnsafeIteratorMonitor @ WordNet.java:1062,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNet.java:1070,17(4063),2(230)
Collection_UnsafeIteratorMonitor @ WordNet.java:1086,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNet.java:1124,1(1),1(1)
Collection_UnsafeIteratorMonitor @ WordNet.java:1138,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNet.java:1152,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNet.java:1167,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNet.java:1189,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNet.java:1219,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNet.java:1241,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:40,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:54,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:67,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:80,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:82,17(3948),8(303)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:97,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:100,16(3918),4(226)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:118,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:122,12(4088),2(227)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:247,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:392,1(0),1(0)
Collection_UnsafeIteratorMonitor @ WordNetTest.java:406,1(0),1(0)
