Loc,Total,Default
Appendable_ThreadSafeMonitor @ AbstractAgiCommand.java:92,2(4),2(4)
Appendable_ThreadSafeMonitor @ AbstractAgiServer.java:77,1(6),1(5)
Appendable_ThreadSafeMonitor @ AbstractMappingStrategy.java:118,1(2),1(2)
Appendable_ThreadSafeMonitor @ AbstractMappingStrategy.java:124,1(2),1(2)
Appendable_ThreadSafeMonitor @ ActionBuilderImpl.java:78,11(4),11(4)
Appendable_ThreadSafeMonitor @ ActionBuilderImpl.java:301,1(22),1(22)
Appendable_ThreadSafeMonitor @ ActionBuilderImpl.java:303,1(0),1(0)
Appendable_ThreadSafeMonitor @ ActionBuilderImpl.java:332,1(21),1(21)
Appendable_ThreadSafeMonitor @ ActionBuilderImplTest.java:104,1(0),1(0)
Appendable_ThreadSafeMonitor @ AgiReplyImpl.java:211,3(2),3(2)
Appendable_ThreadSafeMonitor @ AgiReplyImpl.java:213,4(1),4(1)
Appendable_ThreadSafeMonitor @ AgiReplyImpl.java:283,1(1),1(1)
Appendable_ThreadSafeMonitor @ AgiRequestImpl.java:172,1(0),1(0)
Appendable_ThreadSafeMonitor @ AnnotationAppender.java:679,1(2),1(2)
Appendable_ThreadSafeMonitor @ AnnotationAppender.java:703,1(2),1(2)
Appendable_ThreadSafeMonitor @ AnnotationAppender.java:726,1(2),1(2)
Appendable_ThreadSafeMonitor @ AppenderModelHandler.java:59,1(0),1(0)
Appendable_ThreadSafeMonitor @ AppenderModelHandler.java:65,1(0),1(0)
Appendable_ThreadSafeMonitor @ AppenderRefModelHandler.java:59,1(0),1(0)
Appendable_ThreadSafeMonitor @ AsteriskQueueImpl.java:93,1(0),1(0)
Appendable_ThreadSafeMonitor @ AsyncEventPump.java:49,1(7),1(5)
Appendable_ThreadSafeMonitor @ AsyncEventPump.java:106,1(7),1(7)
Appendable_ThreadSafeMonitor @ AuxiliaryType.java:166,1(16),1(16)
Appendable_ThreadSafeMonitor @ BridgeCommand.java:42,1(1),1(1)
Appendable_ThreadSafeMonitor @ BridgeCommand.java:45,1(0),1(0)
Appendable_ThreadSafeMonitor @ BridgeCommand.java:47,1(0),1(0)
Appendable_ThreadSafeMonitor @ CallerId.java:94,2(1),1(1)
Appendable_ThreadSafeMonitor @ CallerId.java:103,1(1),1(1)
Appendable_ThreadSafeMonitor @ ChannelStatusCommand.java:85,1(2),1(2)
Appendable_ThreadSafeMonitor @ ClassFileVersion.java:545,1(0),1(0)
Appendable_ThreadSafeMonitor @ CoherentEventFactory.java:45,1(38),1(38)
Appendable_ThreadSafeMonitor @ CoherentEventFactory.java:53,1(5),1(5)
Appendable_ThreadSafeMonitor @ CoherentEventFactory.java:58,1(28),1(28)
Appendable_ThreadSafeMonitor @ CoherentEventFactory.java:65,1(3),1(3)
Appendable_ThreadSafeMonitor @ ConfbridgeCommand.java:47,1(1),1(1)
Appendable_ThreadSafeMonitor @ ConfbridgeCommand.java:49,1(1),1(1)
Appendable_ThreadSafeMonitor @ ConfigFileReader.java:164,1(0),1(0)
Appendable_ThreadSafeMonitor @ ConfigFileReader.java:175,1(0),1(0)
Appendable_ThreadSafeMonitor @ ConfigFileReader.java:178,1(0),1(0)
Appendable_ThreadSafeMonitor @ ConfigFileReader.java:337,3(1),3(1)
Appendable_ThreadSafeMonitor @ ConfigFileReader.java:342,3(0),3(0)
Appendable_ThreadSafeMonitor @ ContextInitializer.java:85,1(0),1(0)
Appendable_ThreadSafeMonitor @ ControlStreamFileCommand.java:229,4(1),4(1)
Appendable_ThreadSafeMonitor @ CoreStatusResponse.java:160,1(0),1(0)
Appendable_ThreadSafeMonitor @ DatabaseDelCommand.java:101,2(1),2(1)
Appendable_ThreadSafeMonitor @ DatabaseDelTreeCommand.java:103,1(0),1(0)
Appendable_ThreadSafeMonitor @ DatabaseDelTreeCommand.java:105,1(0),1(0)
Appendable_ThreadSafeMonitor @ DatabaseGetCommand.java:91,1(0),1(0)
Appendable_ThreadSafeMonitor @ DatabasePutCommand.java:116,1(0),1(0)
Appendable_ThreadSafeMonitor @ DefaultJoranConfigurator.java:117,1(0),1(0)
Appendable_ThreadSafeMonitor @ DefaultJoranConfigurator.java:119,1(0),1(0)
Appendable_ThreadSafeMonitor @ DialCommand.java:55,2(2),2(2)
Appendable_ThreadSafeMonitor @ DialCommand.java:57,1(1),1(1)
Appendable_ThreadSafeMonitor @ EventAttributesHelper.java:75,1(4),1(4)
Appendable_ThreadSafeMonitor @ EventBuilderImpl.java:74,1(91),1(18)
Appendable_ThreadSafeMonitor @ EventBuilderImpl.java:94,1(0),1(0)
Appendable_ThreadSafeMonitor @ EventBuilderImpl.java:112,1(9054),1(448)
Appendable_ThreadSafeMonitor @ EventBuilderImpl.java:183,1(0),1(0)
Appendable_ThreadSafeMonitor @ EventBuilderImpl.java:190,1(0),1(0)
Appendable_ThreadSafeMonitor @ FastAgiWriter.java:43,1(0),1(0)
Appendable_ThreadSafeMonitor @ FastScannerCrNl.java:53,52(9),42(8)
Appendable_ThreadSafeMonitor @ FastScannerDeterministicTest.java:39,1(1),1(1)
Appendable_ThreadSafeMonitor @ FastScannerDeterministicTest.java:47,1(1),1(1)
Appendable_ThreadSafeMonitor @ FastScannerDeterministicTest.java:67,1(30),1(30)
Appendable_ThreadSafeMonitor @ FastScannerDeterministicTest.java:79,2(20000),2(988)
Appendable_ThreadSafeMonitor @ FastScannerNl.java:124,53(9),53(9)
Appendable_ThreadSafeMonitor @ FastScannerRandomTest.java:42,1(99),1(62)
Appendable_ThreadSafeMonitor @ FastScannerRandomTest.java:97,1(102),1(47)
Appendable_ThreadSafeMonitor @ FastScannerRandomTest.java:105,3(0),3(0)
Appendable_ThreadSafeMonitor @ FastScannerRandomTest.java:108,100(0),100(0)
Appendable_ThreadSafeMonitor @ FastScannerSpeedTest.java:20,1(9),1(6)
Appendable_ThreadSafeMonitor @ FastScannerSpeedTest.java:40,1(9),1(2)
