Loc,Total,Default
Appendable_ThreadSafeMonitor @ AcornByte.java:106,1(8276),1(419)
Appendable_ThreadSafeMonitor @ AcornByte.java:148,1(34),1(17)
Appendable_ThreadSafeMonitor @ AcornByte.java:203,1(883),1(62)
Appendable_ThreadSafeMonitor @ AcornByte.java:207,1(869),1(51)
Appendable_ThreadSafeMonitor @ AudioFile.java:95,1(21),1(1)
Appendable_ThreadSafeMonitor @ BBCBasicVariableData.java:76,1(0),1(0)
Appendable_ThreadSafeMonitor @ BBCBasicVariableData.java:133,1(100),1(22)
Appendable_ThreadSafeMonitor @ BBCFileBlock.java:159,4(74),3(20)
Appendable_ThreadSafeMonitor @ BBCFileBlock.java:197,1(63),1(25)
Appendable_ThreadSafeMonitor @ BBCFileBlock.java:199,1(63),1(49)
Appendable_ThreadSafeMonitor @ BBCFileBlock.java:200,1(63),1(19)
Appendable_ThreadSafeMonitor @ BBCFileBlock.java:201,1(63),1(45)
Appendable_ThreadSafeMonitor @ BBCFileBlock.java:202,1(63),1(9)
Appendable_ThreadSafeMonitor @ BBCFileBlock.java:203,1(63),1(32)
Appendable_ThreadSafeMonitor @ BBCFileBlock.java:204,1(63),1(12)
Appendable_ThreadSafeMonitor @ BBCFileStateMachine.java:78,1(582),1(58)
Appendable_ThreadSafeMonitor @ BBCFileStateMachine.java:212,1(31),1(23)
Appendable_ThreadSafeMonitor @ BBCFileStateMachine.java:214,1(31),1(31)
Appendable_ThreadSafeMonitor @ BBCFileStateMachine.java:230,1(83),1(24)
Appendable_ThreadSafeMonitor @ BBCFileStateMachine.java:287,1(6),1(4)
Appendable_ThreadSafeMonitor @ BBCFileStateMachine.java:290,1(31),1(2)
Appendable_ThreadSafeMonitor @ BBCFileTest.java:116,1(4),1(4)
Appendable_ThreadSafeMonitor @ BBCFileTest.java:123,1(6),1(4)
Appendable_ThreadSafeMonitor @ BBCFileTest.java:124,1(6),1(6)
Appendable_ThreadSafeMonitor @ BBCFileTest.java:125,1(6),1(6)
Appendable_ThreadSafeMonitor @ BBCFileTest.java:127,1(6),1(2)
Appendable_ThreadSafeMonitor @ BBCFileTest.java:134,1(0),1(0)
Appendable_ThreadSafeMonitor @ BBCTapeFile.java:86,2(12),2(12)
Appendable_ThreadSafeMonitor @ CommodoreBlockRecognisingStateMachine.java:80,1(236),1(22)
Appendable_ThreadSafeMonitor @ CommodoreBlockRecognisingStateMachine.java:237,1(17),1(10)
Appendable_ThreadSafeMonitor @ CommodoreBlockRecognisingStateMachine.java:372,1(36),1(21)
Appendable_ThreadSafeMonitor @ CommodoreByteFrame.java:112,1(6216),1(327)
Appendable_ThreadSafeMonitor @ CommodoreByteFrame.java:205,1(17),1(17)
Appendable_ThreadSafeMonitor @ CommodoreFileBuilder.java:121,1(10),1(10)
Appendable_ThreadSafeMonitor @ CommodoreFileTest.java:134,1(8),1(8)
Appendable_ThreadSafeMonitor @ CommodoreFileTest.java:141,1(10),1(10)
Appendable_ThreadSafeMonitor @ CommodoreFileTest.java:142,1(10),1(10)
Appendable_ThreadSafeMonitor @ CommodoreFileTest.java:143,1(10),1(9)
Appendable_ThreadSafeMonitor @ CommodoreFileTest.java:145,1(10),1(9)
Appendable_ThreadSafeMonitor @ CommodorePulseTest.java:66,1(0),1(0)
Appendable_ThreadSafeMonitor @ CommodorePulseTest.java:75,1(0),1(0)
Appendable_ThreadSafeMonitor @ CommodoreTapeFile.java:104,1(21),1(20)
Appendable_ThreadSafeMonitor @ FileBuilder.java:125,4(10),4(10)
Appendable_ThreadSafeMonitor @ GenericTapeFile.java:102,1(3),1(3)
Appendable_ThreadSafeMonitor @ GenericTapeFile.java:105,1(2),1(2)
Appendable_ThreadSafeMonitor @ HighPass.java:79,1(4),1(2)
Appendable_ThreadSafeMonitor @ HighPass.java:98,1(4),1(4)
Appendable_ThreadSafeMonitor @ LowPass.java:62,1(11),1(11)
Appendable_ThreadSafeMonitor @ LowPass.java:88,1(11),1(11)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:166,1(7),1(7)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:187,1(1),1(1)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:197,1(1),1(1)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:283,1(877),1(41)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:345,1(0),1(0)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:389,1(6),1(4)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:392,1(69),1(13)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:395,1(6),1(6)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:411,1(0),1(0)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:413,1(0),1(0)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:427,1(13),1(1)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:436,1(4),1(4)
Appendable_ThreadSafeMonitor @ SpectrumFileStateMachine.java:522,1(0),1(0)
Appendable_ThreadSafeMonitor @ SpectrumFileTest.java:124,1(6),1(6)
Appendable_ThreadSafeMonitor @ SpectrumFileTest.java:131,1(6),1(6)
Appendable_ThreadSafeMonitor @ SpectrumFileTest.java:132,1(6),1(6)
Appendable_ThreadSafeMonitor @ SpectrumFileTest.java:133,1(6),1(6)
Appendable_ThreadSafeMonitor @ SpectrumTapeFile.java:60,1(13),1(13)
Collection_UnsafeIteratorMonitor @ AcornPulseExtractor.java:130,1(455823),1(9999)
Collection_UnsafeIteratorMonitor @ AudioInput.java:71,1(21259534),1(10000)
Collection_UnsafeIteratorMonitor @ BBCFileExtractor.java:57,1(16),1(16)
Collection_UnsafeIteratorMonitor @ Commodore64Vic20PulseExtractor.java:169,1(593073),1(9999)
Collection_UnsafeIteratorMonitor @ CommodoreFileExtractor.java:78,1(10),1(2)
Collection_UnsafeIteratorMonitor @ Directory.java:94,3(3),3(2)
Collection_UnsafeIteratorMonitor @ EmulatorTAPFile.java:48,4(3),4(3)
Collection_UnsafeIteratorMonitor @ FileBuilder.java:85,6(8),6(8)
Collection_UnsafeIteratorMonitor @ HighPass.java:111,1(9671684),1(9999)
Collection_UnsafeIteratorMonitor @ LowPass.java:103,1(12946873),1(9999)
Collection_UnsafeIteratorMonitor @ SpectrumFileStateMachine.java:485,26900(28285),26900(28285)
Collection_UnsafeIteratorMonitor @ SpectrumFileStateMachine.java:486,1(6),1(4)
Collection_UnsafeIteratorMonitor @ SpectrumFileStateMachine.java:517,1(55194),1(2708)
Collection_UnsafeIteratorMonitor @ SpectrumPulseExtractor.java:191,1(55184),1(2748)
Collection_UnsafeIteratorMonitor @ ZeroCrossingIntervalExtractor.java:106,1(2212802),1(10000)
Collections_SortBeforeBinarySearchMonitor @ AcornPulseExtractor.java:110,1(4),1(4)
Collections_SortBeforeBinarySearchMonitor @ AudioInput.java:78,1(21),1(8)
Collections_SortBeforeBinarySearchMonitor @ BBCBasicVariableData.java:128,1(100),1(62)
Collections_SortBeforeBinarySearchMonitor @ BBCFileExtractor.java:48,1(9),1(8)
Collections_SortBeforeBinarySearchMonitor @ BBCFileTest.java:147,2(3),2(2)
Collections_SortBeforeBinarySearchMonitor @ BBCTapeFile.java:124,5(2),5(2)
Collections_SortBeforeBinarySearchMonitor @ Commodore64Vic20PulseExtractor.java:151,1(9),1(7)
Collections_SortBeforeBinarySearchMonitor @ CommodoreBlockRecognisingStateMachine.java:183,2(7),2(7)
Collections_SortBeforeBinarySearchMonitor @ CommodoreFileBuilder.java:122,2(7),2(7)
Collections_SortBeforeBinarySearchMonitor @ CommodoreFileExtractor.java:66,1(8),1(8)
Collections_SortBeforeBinarySearchMonitor @ CommodoreFileTest.java:165,2(7),2(6)
Collections_SortBeforeBinarySearchMonitor @ CommodoreTapeFile.java:51,3(8),3(8)
Collections_SortBeforeBinarySearchMonitor @ CommodoreTapeFile.java:275,1(849),1(39)
Collections_SortBeforeBinarySearchMonitor @ Directory.java:38,3(2),3(2)
Collections_SortBeforeBinarySearchMonitor @ Directory.java:85,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ DirectoryTest.java:270,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ DirectoryTest.java:271,2(0),2(0)
Collections_SortBeforeBinarySearchMonitor @ EmulatorTAPFile.java:32,4(3),4(3)
Collections_SortBeforeBinarySearchMonitor @ FileBuilder.java:107,5(2),4(1)
Collections_SortBeforeBinarySearchMonitor @ HighPass.java:118,1(4),1(4)
Collections_SortBeforeBinarySearchMonitor @ LowPass.java:110,1(11),1(4)
Collections_SortBeforeBinarySearchMonitor @ SpectrumFileStateMachine.java:476,1(6),1(6)
