Loc,Total,Default
Appendable_ThreadSafeMonitor @ DictionaryBuilder.java:175,2(0),2(0)
Appendable_ThreadSafeMonitor @ DictionaryImpl.java:219,1(158294),1(8001)
Appendable_ThreadSafeMonitor @ LevenshteinAutomaton.java:117,1(2276542),1(9999)
Appendable_ThreadSafeMonitor @ LevenshteinAutomatonTest.java:115,1(999),1(51)
Appendable_ThreadSafeMonitor @ PerfectHashDictionaryStateCard.java:124,5(2),4(2)
Appendable_ThreadSafeMonitor @ PerfectHashDictionaryTest.java:110,1(0),1(0)
Appendable_ThreadSafeMonitor @ PerfectHashDictionaryTest.java:112,1(5),1(5)
Appendable_ThreadSafeMonitor @ PerfectHashDictionaryTest.java:115,1(6),1(6)
Appendable_ThreadSafeMonitor @ PerfectHashDictionaryTest.java:149,1(0),1(0)
Appendable_ThreadSafeMonitor @ PerfectHashDictionaryTest.java:151,1(5),1(5)
Appendable_ThreadSafeMonitor @ PerfectHashDictionaryTest.java:154,1(6),1(5)
Appendable_ThreadSafeMonitor @ PerfectHashDictionaryTransCard.java:120,9(4198),4(207)
Arrays_SortBeforeBinarySearchMonitor @ ImmutableStringObjectMap.java:227,1(52),1(6)
CharSequence_NotInMapMonitor @ ImmutableStringIntMap.java:59,1(2),1(2)
CharSequence_NotInMapMonitor @ ImmutableStringObjectMap.java:60,1(1),1(1)
CharSequence_NotInMapMonitor @ ImmutableStringStringMap.java:67,1(1),1(1)
CharSequence_NotInMapMonitor @ MapInterfaceTest.java:1168,1(2),1(2)
CharSequence_NotInMapMonitor @ MapInterfaceTest.java:1197,1(2),1(2)
Collection_UnsafeIteratorMonitor @ CompactIntArrayTest.java:57,1744(2256),1743(2256)
Collection_UnsafeIteratorMonitor @ DictionaryBuilder.java:129,151(1098),12(66)
Collection_UnsafeIteratorMonitor @ DictionaryBuilder.java:184,2(0),2(0)
Collection_UnsafeIteratorMonitor @ DictionaryBuilder.java:193,4(22),4(22)
Collection_UnsafeIteratorMonitor @ DictionaryBuilder.java:241,7(858355),2(19998)
Collection_UnsafeIteratorMonitor @ DictionaryBuilder.java:272,7(858381),3(29997)
Collection_UnsafeIteratorMonitor @ DictionaryBuilder.java:310,333(925),47(72)
Collection_UnsafeIteratorMonitor @ DictionaryImpl.java:77,3(179),1(58)
Collection_UnsafeIteratorMonitor @ DictionaryImpl.java:139,3(87),3(87)
Collection_UnsafeIteratorMonitor @ DictionaryTest.java:77,1(0),1(0)
Collection_UnsafeIteratorMonitor @ DictionaryTest.java:89,1(0),1(0)
Collection_UnsafeIteratorMonitor @ DictionaryTest.java:110,1(0),1(0)
Collection_UnsafeIteratorMonitor @ DictionaryTest.java:117,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntMap.java:72,3(49),3(49)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntMap.java:115,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntMap.java:143,6(1035),5(75)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntMap.java:303,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:50,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:53,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:59,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:62,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:70,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:75,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:78,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:86,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringIntTest.java:89,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringObjectMap.java:74,3(48),3(21)
Collection_UnsafeIteratorMonitor @ ImmutableStringObjectMap.java:116,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringObjectMap.java:145,8(1033),4(58)
Collection_UnsafeIteratorMonitor @ ImmutableStringObjectMapTest.java:71,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringObjectMapTest.java:76,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ImmutableStringStringMap.java:82,3(48),3(25)
Collection_UnsafeIteratorMonitor @ ImmutableStringStringMap.java:103,8(1033),8(1033)
Collection_UnsafeIteratorMonitor @ LevenshteinAutomaton.java:109,7(2277536),5(49995)
Collection_UnsafeIteratorMonitor @ LevenshteinAutomaton.java:153,3(297497),1(10000)
Collection_UnsafeIteratorMonitor @ LevenshteinAutomatonState.java:136,6(70589),5(3527)
Collection_UnsafeIteratorMonitor @ LevenshteinAutomatonState.java:148,6(65019),2(3262)
Collection_UnsafeIteratorMonitor @ LevenshteinAutomatonState.java:153,4(65021),2(3311)
Collection_UnsafeIteratorMonitor @ LevenshteinAutomatonState.java:164,5(65020),3(3301)
Collection_UnsafeIteratorMonitor @ MapInterfaceTest.java:158,2(130),2(74)
Collection_UnsafeIteratorMonitor @ MapInterfaceTest.java:187,1(131),1(46)
Collection_UnsafeIteratorMonitor @ MapInterfaceTest.java:190,2(130),2(40)
Collection_UnsafeIteratorMonitor @ MapInterfaceTest.java:204,1(131),1(7)
Collection_UnsafeIteratorMonitor @ MapInterfaceTest.java:205,2(130),2(77)
Collection_UnsafeIteratorMonitor @ MapInterfaceTest.java:212,1(131),1(28)
Collection_UnsafeIteratorMonitor @ MapInterfaceTest.java:218,2(130),2(18)
Collection_UnsafeIteratorMonitor @ MapInterfaceTest.java:254,2(130),2(32)
