Loc,Total,Default
Appendable_ThreadSafeMonitor @ AttributeSource.java:78,1(3),1(3)
Appendable_ThreadSafeMonitor @ HHMMSegmenter.java:70,263(119137),263(119137)
Appendable_ThreadSafeMonitor @ SentenceTokenizer.java:101,1(0),1(0)
Appendable_ThreadSafeMonitor @ StandardAnalyzerTest.java:29,1(299),1(32)
Appendable_ThreadSafeMonitor @ StandardAnalyzerTest.java:66,1(0),1(0)
Appendable_ThreadSafeMonitor @ StandardAnalyzerTest.java:94,1(0),1(0)
Appendable_ThreadSafeMonitor @ TermAttributeImpl.java:217,1(11),1(11)
Closeable_MultipleCloseMonitor @ BigramDictionary.java:102,1(0),1(0)
Closeable_MultipleCloseMonitor @ Dictionary.java:121,1(1),1(1)
Closeable_MultipleCloseMonitor @ Dictionary.java:197,1(1),1(1)
Closeable_MultipleCloseMonitor @ Dictionary.java:234,1(1),1(1)
Closeable_MultipleCloseMonitor @ Dictionary.java:271,1(1),1(1)
Closeable_MultipleCloseMonitor @ Dictionary.java:309,1(1),1(1)
Closeable_MultipleCloseMonitor @ Dictionary.java:346,1(1),1(1)
Closeable_MultipleCloseMonitor @ SmartChineseAnalyzer.java:102,1(0),1(0)
Closeable_MultipleCloseMonitor @ WordDictionary.java:171,1(0),1(0)
Closeable_MultipleCloseMonitor @ WordlistLoader.java:139,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AttributeSource.java:207,1(5),1(5)
Collection_UnsafeIteratorMonitor @ AttributeSource.java:297,2(1),2(1)
Collection_UnsafeIteratorMonitor @ BiSegGraph.java:74,3(1388998),2(19999)
Collection_UnsafeIteratorMonitor @ BiSegGraph.java:92,3(1739998),2(19999)
Collection_UnsafeIteratorMonitor @ BiSegGraph.java:186,3(1739998),2(19998)
Collection_UnsafeIteratorMonitor @ CJKSegmenter.java:126,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Dictionary.java:132,1(1),1(1)
Collection_UnsafeIteratorMonitor @ Dictionary.java:357,1(1),1(1)
Collection_UnsafeIteratorMonitor @ IKSegmentation.java:83,1(29),1(28)
Collection_UnsafeIteratorMonitor @ IKSegmentation.java:103,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SegGraph.java:86,3(3016799),2(19998)
Collection_UnsafeIteratorMonitor @ WordSegmenter.java:57,20(119380),5(5908)
Collection_UnsafeIteratorMonitor @ WordTokenFilter.java:71,20(119380),7(6040)
Collection_UnsynchronizedAddAllMonitor @ QuantifierSegmenter.java:106,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ QuantifierSegmenter.java:118,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ QuantifierSegmenter.java:125,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ StopFilter.java:65,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ AttributeSource.java:198,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ BiSegGraph.java:152,3(1739998),2(19999)
Collections_SortBeforeBinarySearchMonitor @ BiSegGraph.java:179,36(119364),36(119364)
Collections_SortBeforeBinarySearchMonitor @ BiSegGraph.java:207,20(119380),10(5947)
Collections_SortBeforeBinarySearchMonitor @ BiSegGraph.java:218,20(119380),8(5934)
Collections_SortBeforeBinarySearchMonitor @ CJKSegmenter.java:135,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Configuration.java:113,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ SegGraph.java:88,36(238764),5(12037)
Collections_SortBeforeBinarySearchMonitor @ SegGraph.java:106,3(1508398),1(9999)
Console_CloseReaderMonitor @ WordlistLoader.java:139,1(0),1(0)
InputStream_ManipulateAfterCloseMonitor @ BigramDictionary.java:102,1(0),1(0)
InputStream_ManipulateAfterCloseMonitor @ Dictionary.java:121,1(1),1(1)
InputStream_ManipulateAfterCloseMonitor @ Dictionary.java:197,1(1),1(1)
