Loc,Total,Default
Appendable_ThreadSafeMonitor @ TestInstantiationSpeed.java:37,1(0),1(0)
Appendable_ThreadSafeMonitor @ TestMultiThreadMapIterator.java:28,1(0),1(0)
Appendable_ThreadSafeMonitor @ TestMultiThreadMapIterator.java:40,1(53099),1(2643)
ByteArrayOutputStream_FlushBeforeRetrieveMonitor @ TestSerialization.java:26,1(0),1(0)
Closeable_MultipleCloseMonitor @ TestSerialization.java:28,1(0),1(0)
Closeable_MultipleCloseMonitor @ TestSerialization.java:36,1(0),1(0)
Collection_UnsafeIteratorMonitor @ TestHashCollisionsRemoveIterator.java:21,1(0),1(0)
Collection_UnsafeIteratorMonitor @ TestMapIterator.java:23,99(0),99(0)
Collection_UnsafeIteratorMonitor @ TestMapIterator.java:27,99(0),99(0)
Collection_UnsafeIteratorMonitor @ TestMapIterator.java:30,99(0),99(0)
Collection_UnsafeIteratorMonitor @ TestMapIterator.java:37,99(0),99(0)
Collection_UnsafeIteratorMonitor @ TestMapIterator.java:46,99(0),99(0)
Collection_UnsafeIteratorMonitor @ TestMultiThreadMapIterator.java:37,1(6),1(6)
Collection_UnsafeIteratorMonitor @ TestMultiThreadMapIterator.java:57,1(0),1(0)
Collection_UnsafeIteratorMonitor @ TestMultiThreadMapIterator.java:73,7(0),7(0)
Collection_UnsafeIteratorMonitor @ TestMultiThreadMapIterator.java:100,1(0),1(0)
Collection_UnsafeIteratorMonitor @ TestMultiThreadMapIterator.java:104,1(0),1(0)
Collection_UnsafeIteratorMonitor @ TrieMap.java:1786,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ TestHashCollisionsRemoveIterator.java:24,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ TestMultiThreadMapIterator.java:142,4(149996),1(7513)
InputStream_ManipulateAfterCloseMonitor @ TestSerialization.java:36,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ TestSerialization.java:36,1(0),1(0)
Iterator_HasNextMonitor @ TestHashCollisionsRemoveIterator.java:21,1(0),1(0)
Iterator_HasNextMonitor @ TestMapIterator.java:23,99(0),99(0)
Iterator_HasNextMonitor @ TestMapIterator.java:27,99(0),99(0)
Iterator_HasNextMonitor @ TestMapIterator.java:30,99(0),99(0)
Iterator_HasNextMonitor @ TestMapIterator.java:37,99(0),98(0)
Iterator_HasNextMonitor @ TestMapIterator.java:46,99(0),99(0)
Iterator_HasNextMonitor @ TestMultiThreadMapIterator.java:37,1(6),1(6)
Iterator_HasNextMonitor @ TestMultiThreadMapIterator.java:57,1(0),1(0)
Iterator_HasNextMonitor @ TestMultiThreadMapIterator.java:73,7(0),7(0)
Iterator_HasNextMonitor @ TestMultiThreadMapIterator.java:100,1(0),1(0)
Iterator_HasNextMonitor @ TestMultiThreadMapIterator.java:104,1(0),1(0)
Iterator_HasNextMonitor @ TestReadOnlyAndUpdatableIterators.java:31,1(0),1(0)
Iterator_HasNextMonitor @ TestReadOnlyAndUpdatableIterators.java:51,1(0),1(0)
Iterator_HasNextMonitor @ TestReadOnlyAndUpdatableIterators.java:71,1(0),1(0)
Iterator_HasNextMonitor @ TestReadOnlyAndUpdatableIterators.java:90,1(0),1(0)
Iterator_HasNextMonitor @ TestReadOnlyAndUpdatableIterators.java:112,1(0),1(0)
Iterator_HasNextMonitor @ TrieMap.java:741,1(4764),1(257)
Iterator_HasNextMonitor @ TrieMap.java:1517,100(98),26(26)
Iterator_HasNextMonitor @ TrieMap.java:1577,3(26610),2(1324)
Iterator_HasNextMonitor @ TrieMap.java:1786,1(0),1(0)
Iterator_RemoveOnceMonitor @ TestHashCollisionsRemoveIterator.java:22,1(0),1(0)
Iterator_RemoveOnceMonitor @ TestMapIterator.java:23,98(0),98(0)
Iterator_RemoveOnceMonitor @ TestMapIterator.java:27,98(0),98(0)
Iterator_RemoveOnceMonitor @ TestMapIterator.java:30,98(0),98(0)
Iterator_RemoveOnceMonitor @ TestMapIterator.java:38,98(0),98(0)
Iterator_RemoveOnceMonitor @ TestMapIterator.java:47,98(0),98(0)
Iterator_RemoveOnceMonitor @ TestMultiThreadMapIterator.java:38,1(6),1(6)
Iterator_RemoveOnceMonitor @ TestMultiThreadMapIterator.java:57,1(0),1(0)
Iterator_RemoveOnceMonitor @ TestMultiThreadMapIterator.java:74,7(0),7(0)
Iterator_RemoveOnceMonitor @ TestReadOnlyAndUpdatableIterators.java:31,1(0),1(0)
Iterator_RemoveOnceMonitor @ TestReadOnlyAndUpdatableIterators.java:51,1(0),1(0)
Iterator_RemoveOnceMonitor @ TestReadOnlyAndUpdatableIterators.java:71,1(0),1(0)
Iterator_RemoveOnceMonitor @ TestReadOnlyAndUpdatableIterators.java:90,1(0),1(0)
Iterator_RemoveOnceMonitor @ TestReadOnlyAndUpdatableIterators.java:112,1(0),1(0)
Iterator_RemoveOnceMonitor @ TrieMap.java:741,1(4764),1(240)
Iterator_RemoveOnceMonitor @ TrieMap.java:1520,3(26610),3(1327)
Iterator_RemoveOnceMonitor @ TrieMap.java:1786,1(0),1(0)
Map_CollectionViewAddMonitor @ TestHashCollisionsRemoveIterator.java:21,1(0),1(0)
Map_CollectionViewAddMonitor @ TestMapIterator.java:23,1(98),1(11)
