Loc,Total,Default
Appendable_ThreadSafeMonitor @ Bug102Test.java:91,1(17),1(17)
Appendable_ThreadSafeMonitor @ Bug102Test.java:94,1(395),1(19)
Appendable_ThreadSafeMonitor @ Bug102Test.java:160,1(0),1(0)
Appendable_ThreadSafeMonitor @ Bug34CharacterEncodingTest.java:50,1(0),1(0)
Appendable_ThreadSafeMonitor @ Bug49Test.java:33,1(2),1(2)
Appendable_ThreadSafeMonitor @ Bug49Test.java:35,1(23),1(23)
Appendable_ThreadSafeMonitor @ Bug56Test.java:33,1(0),1(0)
Appendable_ThreadSafeMonitor @ Bug56Test.java:36,1(12),1(12)
Appendable_ThreadSafeMonitor @ Bug56Test.java:39,1(0),1(0)
Appendable_ThreadSafeMonitor @ Bug64ExcelDBFTest.java:34,1(15),1(15)
Appendable_ThreadSafeMonitor @ Bug64ExcelDBFTest.java:36,1(159),1(9)
Appendable_ThreadSafeMonitor @ DBFDataType.java:201,1(0),1(0)
Appendable_ThreadSafeMonitor @ DBFField.java:444,1(1),1(1)
Appendable_ThreadSafeMonitor @ DBFField.java:467,1(0),1(0)
Appendable_ThreadSafeMonitor @ DBFField.java:492,1(0),1(0)
Appendable_ThreadSafeMonitor @ DBFField.java:521,1(4),1(4)
Appendable_ThreadSafeMonitor @ DBFLockWriterTest.java:39,1(2),1(2)
Appendable_ThreadSafeMonitor @ DBFLockWriterTest.java:58,1(2),1(2)
Appendable_ThreadSafeMonitor @ DBFReader.java:301,1(0),1(0)
Appendable_ThreadSafeMonitor @ DBFReader.java:396,1(0),1(0)
Appendable_ThreadSafeMonitor @ DBFReader.java:477,1(224),1(31)
Appendable_ThreadSafeMonitor @ DBFReader.java:647,2(0),2(0)
Appendable_ThreadSafeMonitor @ DBFRow.java:51,1(0),1(0)
Appendable_ThreadSafeMonitor @ DBFRow.java:109,1(0),1(0)
Appendable_ThreadSafeMonitor @ DBFRowTest.java:35,1(51),1(10)
Appendable_ThreadSafeMonitor @ DBFUtils.java:82,1(0),1(0)
Appendable_ThreadSafeMonitor @ DBFUtils.java:248,10(45),1(7)
