Loc,Total,Default
Appendable_ThreadSafeMonitor @ FinalSeg.java:122,9(98195),8(5017)
Appendable_ThreadSafeMonitor @ FinalSeg.java:129,10(46043),10(46043)
Appendable_ThreadSafeMonitor @ JiebaSegmenter.java:104,25(284377),4(14214)
Appendable_ThreadSafeMonitor @ JiebaSegmenter.java:196,14(376481),3(19125)
Appendable_ThreadSafeMonitor @ SegToken.java:20,1(1511),1(90)
Appendable_ThreadSafeMonitor @ WordDictionary.java:57,1(4),1(4)
Arrays_SortBeforeBinarySearchMonitor @ DictSegment.java:225,470(225612),470(225612)
Closeable_MultipleCloseMonitor @ FinalSeg.java:101,1(0),1(0)
Closeable_MultipleCloseMonitor @ WordDictionary.java:135,1(0),1(0)
Closeable_MultipleCloseMonitor @ WordDictionary.java:187,1(1),1(1)
Collection_UnsafeIteratorMonitor @ JiebaSegmenter.java:81,5(3803062),3(29997)
Collection_UnsafeIteratorMonitor @ JiebaSegmenter.java:109,11(46),7(12)
Collection_UnsafeIteratorMonitor @ JiebaSegmenter.java:114,11(84031),6(4232)
Collection_UnsafeIteratorMonitor @ JiebaSegmenter.java:147,13(90),2(11)
Collection_UnsafeIteratorMonitor @ JiebaSegmenter.java:152,14(200186),6(10025)
Collection_UnsafeIteratorMonitor @ WordDictionary.java:122,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:145,9(98195),8(5025)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:190,9(98195),2(4992)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:201,4(32028),4(1650)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:205,8(14107),8(14107)
Collections_SortBeforeBinarySearchMonitor @ FinalSeg.java:221,7(32031),2(1647)
Collections_SortBeforeBinarySearchMonitor @ JiebaSegmenter.java:48,5(3560769),2(19999)
Collections_SortBeforeBinarySearchMonitor @ JiebaSegmenter.java:67,1(242292),1(9999)
Collections_SortBeforeBinarySearchMonitor @ JiebaSegmenter.java:110,16(3),16(3)
Collections_SortBeforeBinarySearchMonitor @ JiebaSegmenter.java:121,1(2000),1(126)
