Loc,Total,Default
Appendable_ThreadSafeMonitor @ LemmaExample.java:63,1(215351),1(9999)
Appendable_ThreadSafeMonitor @ LemmaExample.java:137,1(71750),1(3574)
Appendable_ThreadSafeMonitor @ LemmaRule.java:47,1(215354),1(9999)
Appendable_ThreadSafeMonitor @ LemmaRule.java:87,1(11),1(11)
Appendable_ThreadSafeMonitor @ SimpleLogger.java:231,1(16),1(16)
Appendable_ThreadSafeMonitor @ TrainTest.java:98,1(11),1(2)
Appendable_ThreadSafeMonitor @ TrainTest.java:101,1(11),1(11)
Closeable_MultipleCloseMonitor @ LemmatizerFactory.java:72,1(0),1(0)
Closeable_MultipleCloseMonitor @ LemmatizerFactory.java:87,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ExampleList.java:175,1(1),1(1)
Collection_UnsafeIteratorMonitor @ LemmaTreeNode.java:110,24(3052),6(183)
Collection_UnsafeIteratorMonitor @ LemmaTreeNode.java:112,1(2089),1(108)
Collection_UnsafeIteratorMonitor @ LemmaTreeNode.java:118,8(5586),2(277)
Collection_UnsafeIteratorMonitor @ LemmaTreeNode.java:181,5(7198),3(410)
Collection_UnsafeIteratorMonitor @ LemmaTreeNode.java:321,24(1185),11(97)
Collection_UnsafeIteratorMonitor @ LoggerFactory.java:191,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RuleList.java:76,3(0),3(0)
Collections_SortBeforeBinarySearchMonitor @ ExampleList.java:169,1(2),1(2)
Collections_SortBeforeBinarySearchMonitor @ LemmaTreeNode.java:182,5(7198),3(393)
InputStream_ManipulateAfterCloseMonitor @ LemmatizerFactory.java:87,1(0),1(0)
InputStream_MarkAfterCloseMonitor @ LemmatizerFactory.java:87,1(0),1(0)
Iterator_HasNextMonitor @ ExampleList.java:175,1(1),1(1)
Iterator_HasNextMonitor @ LemmaTreeNode.java:110,24(3052),4(179)
Iterator_HasNextMonitor @ LemmaTreeNode.java:113,1(2089),1(112)
Iterator_HasNextMonitor @ LemmaTreeNode.java:118,8(5586),3(286)
Iterator_HasNextMonitor @ LemmaTreeNode.java:181,5(7198),3(332)
Iterator_HasNextMonitor @ LemmaTreeNode.java:321,24(1185),12(100)
Iterator_HasNextMonitor @ LoggerFactory.java:191,1(0),1(0)
Iterator_HasNextMonitor @ RuleList.java:76,3(0),2(0)
Iterator_RemoveOnceMonitor @ ExampleList.java:175,1(1),1(1)
Iterator_RemoveOnceMonitor @ LemmaTreeNode.java:110,24(3052),6(196)
Iterator_RemoveOnceMonitor @ LemmaTreeNode.java:113,1(2089),1(102)
Iterator_RemoveOnceMonitor @ LemmaTreeNode.java:118,7(2740),5(159)
Iterator_RemoveOnceMonitor @ LemmaTreeNode.java:181,5(7198),3(360)
Iterator_RemoveOnceMonitor @ LemmaTreeNode.java:321,24(1185),12(82)
Iterator_RemoveOnceMonitor @ RuleList.java:76,3(0),3(0)
Map_CollectionViewAddMonitor @ ExampleList.java:168,1(2),1(1)
Map_CollectionViewAddMonitor @ LemmaTreeNode.java:110,2(3074),2(171)
Map_CollectionViewAddMonitor @ LemmaTreeNode.java:112,1(2089),1(114)
Map_CollectionViewAddMonitor @ LemmaTreeNode.java:118,24(3052),2(166)
Map_CollectionViewAddMonitor @ LemmaTreeNode.java:181,1(7202),1(388)
Map_CollectionViewAddMonitor @ RuleList.java:76,1(2),1(2)
Map_CollectionViewAddMonitor @ SubstituteLoggerFactory.java:65,1(0),1(0)
Map_UnsafeIteratorMonitor @ ExampleList.java:168,2(1),2(1)
Map_UnsafeIteratorMonitor @ LemmaTreeNode.java:110,235(5917),23(335)
Map_UnsafeIteratorMonitor @ LemmaTreeNode.java:112,2(4178),2(223)
Map_UnsafeIteratorMonitor @ LemmaTreeNode.java:118,1455(7215),321(416)
Map_UnsafeIteratorMonitor @ LemmaTreeNode.java:181,6(14400),4(725)
Map_UnsafeIteratorMonitor @ LemmaTreeNode.java:321,134(1075),134(1075)
Map_UnsafeIteratorMonitor @ RuleList.java:76,4(2),4(1)
Map_UnsafeIteratorMonitor @ SubstituteLoggerFactory.java:65,1(0),1(0)
OutputStream_ManipulateAfterCloseMonitor @ LemmatizerFactory.java:72,1(0),1(0)
StringBuilder_ThreadSafeMonitor @ LemmaExample.java:63,1(215351),1(9999)
StringBuilder_ThreadSafeMonitor @ LemmaExample.java:105,1(71783),1(3580)
StringBuilder_ThreadSafeMonitor @ LemmaExample.java:118,1(71783),1(3598)
StringBuilder_ThreadSafeMonitor @ LemmaExample.java:137,1(71750),1(3600)
StringBuilder_ThreadSafeMonitor @ LemmaRule.java:47,1(215354),1(9999)
StringBuilder_ThreadSafeMonitor @ LemmaRule.java:87,1(11),1(9)
StringBuilder_ThreadSafeMonitor @ SimpleLogger.java:231,1(16),1(16)
StringBuilder_ThreadSafeMonitor @ TrainTest.java:98,1(11),1(8)
StringBuilder_ThreadSafeMonitor @ TrainTest.java:101,1(11),1(11)
__TOTAL__,2096(1258470),611(61431)
