Loc,Total,Default
Appendable_ThreadSafeMonitor @ AnsiEscapes.java:23,1(11),1(11)
Appendable_ThreadSafeMonitor @ AnsiEscapes.java:41,1(1),1(1)
Appendable_ThreadSafeMonitor @ Card.java:86,1(25989654),1(9999)
Appendable_ThreadSafeMonitor @ CardTest.java:93,1(0),1(0)
Appendable_ThreadSafeMonitor @ CardTest.java:94,1(0),1(0)
Appendable_ThreadSafeMonitor @ CardTest.java:95,1(0),1(0)
Appendable_ThreadSafeMonitor @ CardUtil4Testing.java:60,1(2598959),1(10000)
Appendable_ThreadSafeMonitor @ CombinationTest.java:69,1(12),1(2)
Appendable_ThreadSafeMonitor @ CombinationTest.java:77,1(12),1(3)
Appendable_ThreadSafeMonitor @ CombinationTest.java:86,1(12),1(3)
Appendable_ThreadSafeMonitor @ CombinationTest.java:95,1(12),1(12)
Appendable_ThreadSafeMonitor @ CombinationTest.java:103,1(12),1(6)
Appendable_ThreadSafeMonitor @ CombinationTest.java:115,1(12),1(12)
Appendable_ThreadSafeMonitor @ CombinationTest.java:127,1(12),1(8)
Appendable_ThreadSafeMonitor @ CombinationTest.java:136,1(12),1(12)
Appendable_ThreadSafeMonitor @ CombinationTest.java:147,1(12),1(10)
Appendable_ThreadSafeMonitor @ CombinationTest.java:160,1(12),1(5)
Appendable_ThreadSafeMonitor @ CombinationTest.java:177,1(12),1(12)
Appendable_ThreadSafeMonitor @ CombinationTest.java:193,1(12),1(4)
Appendable_ThreadSafeMonitor @ CombinationTest.java:209,1(12),1(12)
Appendable_ThreadSafeMonitor @ CucumberScenario.java:52,1(27),1(3)
Appendable_ThreadSafeMonitor @ CucumberScenarioOutline.java:118,1(335),1(15)
Appendable_ThreadSafeMonitor @ CucumberTagStatement.java:22,1(0),1(0)
Appendable_ThreadSafeMonitor @ CucumberTagStatement.java:28,1(27),1(22)
Appendable_ThreadSafeMonitor @ En.java:586,1(1),1(1)
Appendable_ThreadSafeMonitor @ En.java:940,1(4),1(4)
Appendable_ThreadSafeMonitor @ ExamplesRunner.java:42,1(2),1(2)
Appendable_ThreadSafeMonitor @ ExecutionUnitRunner.java:90,1(83),1(83)
Appendable_ThreadSafeMonitor @ FactorialPermutationTest.java:65,1(4),1(2)
Appendable_ThreadSafeMonitor @ FactorialPermutationTest.java:75,1(4),1(4)
Appendable_ThreadSafeMonitor @ FactorialPermutationTest.java:78,1(4),1(4)
Appendable_ThreadSafeMonitor @ FactorialPermutationTest.java:83,1(152),1(21)
Appendable_ThreadSafeMonitor @ FeatureRunner.java:37,1(0),1(0)
Appendable_ThreadSafeMonitor @ FixJava.java:19,1(27),1(24)
Appendable_ThreadSafeMonitor @ FixJava.java:49,1(1),1(1)
Appendable_ThreadSafeMonitor @ FormatterListener.java:51,1(0),1(0)
Appendable_ThreadSafeMonitor @ FormatterListener.java:56,1(2),1(1)
Appendable_ThreadSafeMonitor @ FormatterListener.java:65,1(30),1(6)
Appendable_ThreadSafeMonitor @ HandEvaluator.java:59,1(12995081),1(9999)
Appendable_ThreadSafeMonitor @ HandEvaluatorTest.java:68,1(2598959),1(9999)
Appendable_ThreadSafeMonitor @ HandEvaluatorTest.java:172,1(2598959),1(9999)
Appendable_ThreadSafeMonitor @ I18n.java:95,1(9),1(6)
Appendable_ThreadSafeMonitor @ I18n.java:116,1(0),1(0)
Appendable_ThreadSafeMonitor @ I18n.java:126,1(0),1(0)
Appendable_ThreadSafeMonitor @ JsonReader.java:1043,1(10),1(10)
Appendable_ThreadSafeMonitor @ ResourceLoaderClassFinder.java:21,1(4),1(4)
Appendable_ThreadSafeMonitor @ RuntimeOptionsFactory.java:127,1(0),1(0)
Appendable_ThreadSafeMonitor @ StandardRepresentation.java:90,1(0),1(0)
Appendable_ThreadSafeMonitor @ StateMachineReader.java:16,1(0),1(0)
Appendable_ThreadSafeMonitor @ Stats.java:84,1(1),1(1)
Appendable_ThreadSafeMonitor @ Stats.java:93,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ AnnotationMapper.java:95,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ FastStack.java:26,1(1),1(1)
Arrays_SortBeforeBinarySearchMonitor @ FastStack.java:76,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ HandEvaluatorTest.java:60,1(2598959),1(10000)
Arrays_SortBeforeBinarySearchMonitor @ Runtime.java:42,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ SerializationMembers.java:43,1(0),1(0)
CharSequence_NotInMapMonitor @ AbstractAttributedCharacterIteratorAttributeConverter.java:117,1(0),1(0)
CharSequence_NotInMapMonitor @ JVM.java:131,1(0),1(0)
CharSequence_NotInMapMonitor @ OrderRetainingMap.java:39,1(0),1(0)
Closeable_MultipleCloseMonitor @ Cucumber.java:102,1(0),1(0)
Closeable_MultipleCloseMonitor @ JUnitReporter.java:232,1(0),1(0)
Collection_UnsafeIteratorMonitor @ AbstractAttributedCharacterIteratorAttributeConverter.java:112,1(0),1(0)
Collection_UnsafeIteratorMonitor @ CardTest.java:84,1(0),1(0)
Collection_UnsafeIteratorMonitor @ CardTest.java:102,1(0),1(0)
Collection_UnsafeIteratorMonitor @ CardTest.java:104,1(51),1(5)
Collection_UnsafeIteratorMonitor @ CardTest.java:118,1(0),1(0)
Collection_UnsafeIteratorMonitor @ CardTest.java:120,1(51),1(31)
Collection_UnsafeIteratorMonitor @ ConstructorInjector.java:136,2(110),2(24)
Collection_UnsafeIteratorMonitor @ Cucumber.java:107,1(0),1(0)
Collection_UnsafeIteratorMonitor @ CucumberFeature.java:50,1(0),1(0)
Collection_UnsafeIteratorMonitor @ CucumberScenarioOutline.java:62,1(27),1(11)
Collection_UnsafeIteratorMonitor @ DeckTest.java:56,1(0),1(0)
Collection_UnsafeIteratorMonitor @ DefaultConverterLookup.java:66,1(69),1(9)
Collection_UnsafeIteratorMonitor @ DefaultPicoContainer.java:769,1(27),1(14)
Collection_UnsafeIteratorMonitor @ DefaultPicoContainer.java:796,1(27),1(1)
Collection_UnsafeIteratorMonitor @ DefaultPicoContainer.java:849,1(27),1(7)
Collection_UnsafeIteratorMonitor @ DefaultPicoContainer.java:1002,1(27),1(3)
Collection_UnsafeIteratorMonitor @ DefaultPicoContainer.java:1008,1(27),1(21)
Collection_UnsafeIteratorMonitor @ DefaultSummaryPrinter.java:29,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Env.java:45,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Env.java:51,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ExamplesRunner.java:29,3(0),3(0)
Collection_UnsafeIteratorMonitor @ ExamplesRunner.java:49,3(0),3(0)
Collection_UnsafeIteratorMonitor @ Excluder.java:206,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ExecutionUnitRunner.java:74,1(27),1(18)
Collection_UnsafeIteratorMonitor @ FeatureRunner.java:44,1(0),1(0)
Collection_UnsafeIteratorMonitor @ FeatureRunner.java:75,1(0),1(0)
Collection_UnsafeIteratorMonitor @ FieldDictionary.java:131,1(0),1(0)
Collection_UnsafeIteratorMonitor @ FileResourceIterator.java:50,2(5),2(5)
Collection_UnsafeIteratorMonitor @ FixJava.java:17,1(27),1(20)
Collection_UnsafeIteratorMonitor @ Gson.java:352,2(1),2(1)
Collection_UnsafeIteratorMonitor @ I18n.java:90,1(0),1(0)
Collection_UnsafeIteratorMonitor @ I18n.java:94,1(4),1(4)
Collection_UnsafeIteratorMonitor @ IsCollectionContaining.java:24,772(51),771(51)
Collection_UnsafeIteratorMonitor @ JavaBackend.java:89,1(0),1(0)
Collection_UnsafeIteratorMonitor @ JavaBackend.java:91,1(0),1(0)
Collection_UnsafeIteratorMonitor @ JavaBackend.java:130,1(27),1(12)
Collection_UnsafeIteratorMonitor @ LocalizedXStreams.java:78,1(83),1(20)
Collection_UnsafeIteratorMonitor @ LocalizedXStreams.java:88,84(0),84(0)
Collection_UnsafeIteratorMonitor @ MethodScanner.java:33,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodScanner.java:34,1(0),1(0)
Collection_UnsafeIteratorMonitor @ MethodScanner.java:56,1(20),1(10)
Collection_UnsafeIteratorMonitor @ OrderRetainingMap.java:43,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Parser.java:247,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Parser.java:250,1(9),1(9)
Collection_UnsafeIteratorMonitor @ PicoBuilder.java:223,1(27),1(5)
Collection_UnsafeIteratorMonitor @ PicoFactory.java:21,1(27),1(10)
Collection_UnsafeIteratorMonitor @ PresortedMap.java:59,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PresortedSet.java:71,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PrioritizedList.java:44,3(0),3(0)
Collection_UnsafeIteratorMonitor @ Reflections.java:18,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Reflections.java:28,2(0),2(0)
Collection_UnsafeIteratorMonitor @ Runtime.java:91,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Runtime.java:140,1(27),1(27)
Collection_UnsafeIteratorMonitor @ Runtime.java:151,1(27),1(7)
Collection_UnsafeIteratorMonitor @ Runtime.java:211,1(55),1(7)
Collection_UnsafeIteratorMonitor @ RuntimeGlue.java:80,1(83),1(7)
Collection_UnsafeIteratorMonitor @ RuntimeGlue.java:104,1(55),1(7)
Collection_UnsafeIteratorMonitor @ RuntimeGlue.java:114,1(27),1(27)
Collection_UnsafeIteratorMonitor @ RuntimeOptions.java:180,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RuntimeOptions.java:244,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RuntimeOptions.java:250,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RuntimeOptions.java:254,1(0),1(0)
Collection_UnsafeIteratorMonitor @ RuntimeOptions.java:291,1(348),1(23)
Collection_UnsafeIteratorMonitor @ RuntimeOptionsFactory.java:87,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ScenarioImpl.java:48,1(27),1(19)
Collection_UnsafeIteratorMonitor @ ScenarioOutlineRunner.java:28,1(0),1(0)
Collection_UnsafeIteratorMonitor @ ScenarioOutlineRunner.java:43,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Stats.java:109,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StepContainer.java:32,1(28),1(26)
Collection_UnsafeIteratorMonitor @ StepContainer.java:38,1(27),1(27)
Collection_UnsafeIteratorMonitor @ StepDefinitionMatch.java:66,3(81),3(75)
Collection_UnsafeIteratorMonitor @ UndefinedStepsTracker.java:30,1(0),1(0)
Collection_UnsafeIteratorMonitor @ UndefinedStepsTracker.java:59,3(81),3(17)
Collection_UnsynchronizedAddAllMonitor @ CucumberExamples.java:35,1(2),1(2)
Collection_UnsynchronizedAddAllMonitor @ CucumberExamples.java:36,1(2),1(2)
Collection_UnsynchronizedAddAllMonitor @ CucumberFeature.java:98,1(0),1(0)
Collection_UnsynchronizedAddAllMonitor @ CucumberTagStatement.java:33,1(30),1(2)
Collection_UnsynchronizedAddAllMonitor @ CucumberTagStatement.java:34,1(30),1(29)
Collection_UnsynchronizedAddAllMonitor @ Gson.java:204,1(0),1(0)
