Loc,Total,Default
Appendable_ThreadSafeMonitor @ AppenderAction.java:50,1(0),1(0)
Appendable_ThreadSafeMonitor @ AppenderAction.java:62,1(0),1(0)
Appendable_ThreadSafeMonitor @ AppenderRefAction.java:69,1(0),1(0)
Appendable_ThreadSafeMonitor @ AsyncWriteEngine.java:198,1(6),1(6)
Appendable_ThreadSafeMonitor @ CallerData.java:44,1(0),1(0)
Appendable_ThreadSafeMonitor @ ContextInitializer.java:174,1(0),1(0)
Appendable_ThreadSafeMonitor @ DB.java:667,1(20),1(17)
Appendable_ThreadSafeMonitor @ DB.java:755,1(27),1(3)
Appendable_ThreadSafeMonitor @ DB.java:845,1(20),1(20)
Appendable_ThreadSafeMonitor @ DB.java:846,1(20),1(8)
Appendable_ThreadSafeMonitor @ DB.java:854,1(20),1(17)
Appendable_ThreadSafeMonitor @ DB.java:888,1(104),1(54)
Appendable_ThreadSafeMonitor @ DB.java:899,1(20),1(12)
Appendable_ThreadSafeMonitor @ DB.java:1059,1(27),1(27)
Appendable_ThreadSafeMonitor @ DB.java:1060,1(27),1(9)
Appendable_ThreadSafeMonitor @ DB.java:1086,1(111),1(45)
Appendable_ThreadSafeMonitor @ DB.java:1098,1(27),1(16)
Appendable_ThreadSafeMonitor @ DB.java:1271,1(13),1(5)
Appendable_ThreadSafeMonitor @ DB.java:1274,1(13),1(5)
Appendable_ThreadSafeMonitor @ DB.java:1285,1(13),1(5)
Appendable_ThreadSafeMonitor @ DB.java:1591,1(62),1(51)
Appendable_ThreadSafeMonitor @ DBMaker.java:1000,1(6),1(6)
Appendable_ThreadSafeMonitor @ DBMaker.java:1001,1(6),1(3)
Appendable_ThreadSafeMonitor @ ElementPath.java:126,3(5),3(5)
Appendable_ThreadSafeMonitor @ FormattingConverter.java:39,1(93),1(8)
Appendable_ThreadSafeMonitor @ Logger.java:736,1(0),1(0)
Appendable_ThreadSafeMonitor @ MessageFormatter.java:232,2(62),2(40)
Appendable_ThreadSafeMonitor @ NestedComplexPropertyIA.java:118,1(0),1(0)
Appendable_ThreadSafeMonitor @ NodeToStringTransformer.java:140,2(2),2(2)
Appendable_ThreadSafeMonitor @ PropertySetter.java:328,1(3),1(3)
Appendable_ThreadSafeMonitor @ RootLoggerAction.java:40,1(0),1(0)
Appendable_ThreadSafeMonitor @ Tokenizer.java:124,3(1),3(1)
Arrays_SortBeforeBinarySearchMonitor @ BTreeMap.java:227,1(288995),1(10000)
Arrays_SortBeforeBinarySearchMonitor @ BTreeMap.java:264,1(4838970),1(10000)
Arrays_SortBeforeBinarySearchMonitor @ BTreeMap.java:265,1(4838970),1(10000)
Arrays_SortBeforeBinarySearchMonitor @ COWArrayList.java:51,2(0),2(0)
Arrays_SortBeforeBinarySearchMonitor @ COWArrayList.java:85,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ CyclicBuffer.java:62,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ LoggingEvent.java:112,1(63),1(50)
Arrays_SortBeforeBinarySearchMonitor @ SerializerBase.java:47,1(15290),1(794)
Arrays_SortBeforeBinarySearchMonitor @ SerializerBase.java:56,1(78428),1(4013)
Arrays_SortBeforeBinarySearchMonitor @ TObjectHash.java:118,1(0),1(0)
Arrays_SortBeforeBinarySearchMonitor @ TObjectIntHashMap.java:181,1(2),1(2)
CharSequence_NotInMapMonitor @ PatternLayout.java:45,1(0),1(0)
CharSequence_NotInMapMonitor @ PatternLayoutBase.java:56,1(0),1(0)
Closeable_MultipleCloseMonitor @ DeflatedBlockReader.java:65,1(1),1(1)
Closeable_MultipleCloseMonitor @ DeflatedBlockWriter.java:102,1(1),1(1)
Closeable_MultipleCloseMonitor @ GenericConfigurator.java:61,1(0),1(0)
Closeable_MultipleCloseMonitor @ PBFOutput.java:318,1(0),1(0)
Closeable_MultipleCloseMonitor @ VexOutput.java:128,1(1),1(1)
Collection_UnsafeIteratorMonitor @ BasicStatusManager.java:86,1(8),1(8)
Collection_UnsafeIteratorMonitor @ BinaryParser.java:117,2(105),1(12)
Collection_UnsafeIteratorMonitor @ Bind.java:419,1(20),1(13)
Collection_UnsafeIteratorMonitor @ CallerData.java:108,1(1221),1(64)
Collection_UnsafeIteratorMonitor @ DB.java:1542,1(6),1(6)
Collection_UnsafeIteratorMonitor @ ElementPath.java:125,3(5),3(5)
Collection_UnsafeIteratorMonitor @ Fun.java:56,1(0),1(0)
Collection_UnsafeIteratorMonitor @ InterpretationContext.java:177,1(12),1(3)
Collection_UnsafeIteratorMonitor @ Interpreter.java:263,1(5),1(5)
Collection_UnsafeIteratorMonitor @ Interpreter.java:284,1(0),1(0)
Collection_UnsafeIteratorMonitor @ Interpreter.java:302,1(5),1(5)
Collection_UnsafeIteratorMonitor @ LoggerContext.java:317,1(1),1(1)
Collection_UnsafeIteratorMonitor @ LoggerFactory.java:186,1(0),1(0)
Collection_UnsafeIteratorMonitor @ OSM.java:268,1(1),1(1)
Collection_UnsafeIteratorMonitor @ OSM.java:271,1(1),1(1)
Collection_UnsafeIteratorMonitor @ OSM.java:274,1(1),1(1)
Collection_UnsafeIteratorMonitor @ OSMEntity.java:42,4(3),4(3)
Collection_UnsafeIteratorMonitor @ OSMTest.java:20,1(0),1(0)
Collection_UnsafeIteratorMonitor @ OSMTest.java:24,19(15),19(15)
Collection_UnsafeIteratorMonitor @ PBFInput.java:65,1(0),1(0)
Collection_UnsafeIteratorMonitor @ PBFInput.java:126,4(13),3(7)
Collection_UnsafeIteratorMonitor @ PBFInput.java:157,2(4),1(4)
Collection_UnsafeIteratorMonitor @ PBFInput.java:200,2(4),2(3)
Collection_UnsafeIteratorMonitor @ PBFOutput.java:220,21(23256),7(1196)
Collection_UnsafeIteratorMonitor @ PBFOutput.java:240,19(93216),6(4677)
Collection_UnsafeIteratorMonitor @ PBFOutput.java:267,20(940),5(50)
Collection_UnsafeIteratorMonitor @ PBFOutput.java:276,82(884),82(884)
Collection_UnsafeIteratorMonitor @ RoundTripTest.java:100,3(6),3(6)
Collection_UnsafeIteratorMonitor @ SerializerBase.java:334,1(11673),1(605)
Collection_UnsafeIteratorMonitor @ SerializerBase.java:829,85(11589),85(11589)
Collection_UnsafeIteratorMonitor @ SerializerBase.java:1473,1(0),1(0)
Collection_UnsafeIteratorMonitor @ SimpleRuleStore.java:100,5(1),5(1)
Collection_UnsafeIteratorMonitor @ SimpleRuleStore.java:112,1(1),1(1)
Collection_UnsafeIteratorMonitor @ SimpleRuleStore.java:137,1(1),1(1)
Collection_UnsafeIteratorMonitor @ SimpleRuleStore.java:165,1(1),1(1)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:59,2(0),2(0)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:95,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StatusUtil.java:114,1(0),1(0)
Collection_UnsafeIteratorMonitor @ StringTable.java:44,90(0),89(0)
Collection_UnsafeIteratorMonitor @ UnknownFieldSet.java:207,1(0),1(0)
Collection_UnsafeIteratorMonitor @ UnmodifiableLazyStringList.java:166,2(4),2(4)
Collection_UnsafeIteratorMonitor @ VarInt.java:232,23(704069),5(34919)
Collection_UnsafeIteratorMonitor @ VexOutput.java:103,24(234920),5(11795)
Collection_UnsafeIteratorMonitor @ VexOutput.java:169,82(1850),82(1850)
Collection_UnsynchronizedAddAllMonitor @ BasicStatusManager.java:79,1(1),1(0)
Collection_UnsynchronizedAddAllMonitor @ ElementPath.java:33,1(3),1(3)
Collection_UnsynchronizedAddAllMonitor @ ElementPath.java:59,6(0),5(0)
Collection_UnsynchronizedAddAllMonitor @ LazyStringArrayList.java:89,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ AppenderAttachableImpl.java:40,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ BTreeMap.java:542,1(55),1(40)
Collections_SortBeforeBinarySearchMonitor @ BTreeMap.java:817,4(43),4(9)
Collections_SortBeforeBinarySearchMonitor @ BasicStatusManager.java:68,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ BasicStatusManager.java:79,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ COWArrayList.java:119,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ConfigurationWatchList.java:61,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ConfigurationWatchList.java:62,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ ElementPath.java:33,1(3),1(3)
Collections_SortBeforeBinarySearchMonitor @ ElementPath.java:52,4(31),1(9)
Collections_SortBeforeBinarySearchMonitor @ ElementPath.java:59,1(5),1(5)
Collections_SortBeforeBinarySearchMonitor @ ElementPath.java:97,1(1),1(1)
Collections_SortBeforeBinarySearchMonitor @ Interpreter.java:144,1(0),1(0)
Collections_SortBeforeBinarySearchMonitor @ Interpreter.java:219,1(0),1(0)
