Loc,Total,Default
Appendable_ThreadSafeMonitor @ AbstRandomBasedFactoryTest.java:296,1(1),1(1)
Appendable_ThreadSafeMonitor @ AbstRandomBasedFactoryTest.java:297,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseN.java:299,7(62),5(17)
Appendable_ThreadSafeMonitor @ BaseN.java:301,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseN.java:304,13(47),13(47)
Appendable_ThreadSafeMonitor @ BaseNCodec1Test.java:169,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseNCodec1Test.java:176,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseNCodec1Test.java:183,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseNCodec1Test.java:190,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseNCodec3SamplesTest.java:46,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseNCodec3SamplesTest.java:94,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseNCodec3SamplesTest.java:128,1(1),1(1)
Appendable_ThreadSafeMonitor @ BaseNRemainderDecoder.java:77,1(5),1(5)
Appendable_ThreadSafeMonitor @ ClockSeqPoolTest.java:56,1(199),1(21)
Appendable_ThreadSafeMonitor @ GUID.java:588,1(19),1(14)
Appendable_ThreadSafeMonitor @ InvalidUuidException.java:75,1(59),1(10)
Appendable_ThreadSafeMonitor @ InvalidUuidException.java:78,1(103),1(56)
Appendable_ThreadSafeMonitor @ NameBasedMd5FactoryTest.java:102,1(199),1(29)
Appendable_ThreadSafeMonitor @ NameBasedMd5FactoryTest.java:108,1(199),1(20)
Appendable_ThreadSafeMonitor @ NameBasedSha1FactoryTest.java:101,1(199),1(11)
Appendable_ThreadSafeMonitor @ NameBasedSha1FactoryTest.java:107,1(199),1(21)
Appendable_ThreadSafeMonitor @ NcnameCodec.java:194,1(235),1(35)
Appendable_ThreadSafeMonitor @ NcnameCodec.java:208,1(15),1(2)
Appendable_ThreadSafeMonitor @ NcnameCodec.java:215,1(7),1(7)
Appendable_ThreadSafeMonitor @ NcnameCodec.java:221,1(255),1(33)
Appendable_ThreadSafeMonitor @ PrefixCombFactoryTest.java:81,1(19999),1(1014)
Appendable_ThreadSafeMonitor @ SettingsUtilTest.java:47,1(1),1(1)
Appendable_ThreadSafeMonitor @ ShortPrefixCombFactoryTest.java:57,1(19999),1(1006)
Appendable_ThreadSafeMonitor @ ShortPrefixCombFactoryTest.java:85,1(19999),1(1136)
Appendable_ThreadSafeMonitor @ ShortSuffixCombFactoryTest.java:58,1(19999),1(992)
Appendable_ThreadSafeMonitor @ ShortSuffixCombFactoryTest.java:86,1(19999),1(1002)
Appendable_ThreadSafeMonitor @ SlugCodec.java:171,1(9),1(3)
Appendable_ThreadSafeMonitor @ SlugCodecTest.java:199,1(399),1(57)
Appendable_ThreadSafeMonitor @ StringCodecTest.java:86,1(199),1(89)
