Loc,Total,Default
Appendable_ThreadSafeMonitor @ Xeger.java:193,63(220037),3(11248)
Appendable_ThreadSafeMonitor @ XegerTest.java:82,1(109999),1(5418)
Arrays_SortBeforeBinarySearchMonitor @ State.java:137,1(2527910),1(9999)
Collection_UnsafeIteratorMonitor @ Automaton.java:289,8(881396),2(19999)
Collection_UnsafeIteratorMonitor @ Automaton.java:313,7(267255),5(13313)
Collection_UnsafeIteratorMonitor @ Automaton.java:329,6(13200),4(699)
Collection_UnsafeIteratorMonitor @ Automaton.java:339,5(6598),3(371)
Collection_UnsafeIteratorMonitor @ Automaton.java:341,3(77215),3(3903)
Collection_UnsafeIteratorMonitor @ Automaton.java:371,6(13200),4(704)
Collection_UnsafeIteratorMonitor @ Automaton.java:376,3(152232),2(7719)
Collection_UnsafeIteratorMonitor @ Automaton.java:407,8(13198),6(691)
Collection_UnsafeIteratorMonitor @ Automaton.java:408,5(161034),5(8225)
Collection_UnsafeIteratorMonitor @ Automaton.java:416,2(13204),2(654)
Collection_UnsafeIteratorMonitor @ Automaton.java:433,7(13199),1(671)
Collection_UnsafeIteratorMonitor @ Automaton.java:435,7(13199),4(646)
Collection_UnsafeIteratorMonitor @ Automaton.java:436,5(158833),4(7920)
Collection_UnsafeIteratorMonitor @ Automaton.java:442,4(152231),2(7695)
Collection_UnsafeIteratorMonitor @ Automaton.java:461,7(13199),5(688)
Collection_UnsafeIteratorMonitor @ Automaton.java:464,5(158833),4(8035)
Collection_UnsafeIteratorMonitor @ Automaton.java:519,5(6598),3(360)
Collection_UnsafeIteratorMonitor @ Automaton.java:648,3(34204),2(1708)
Collection_UnsafeIteratorMonitor @ Automaton.java:650,3(34204),2(1786)
Collection_UnsafeIteratorMonitor @ Automaton.java:655,2(98217),2(4874)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:88,1(4201),1(247)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:99,2(4200),1(208)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:103,2(4200),2(252)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:113,2(4200),2(195)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:125,3(8201),2(422)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:223,1(21800),1(1078)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:227,1(2200),1(140)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:417,1(2200),1(138)
Collection_UnsafeIteratorMonitor @ BasicOperations.java:421,1(2200),1(122)
