Project,divergingLocs,totalLocs,divergingSteps,totalSteps
ASM-NonClassloadingExtensions,0,530,58060,70925
AnomalyDetectTool,0,58,65,721
Fuzzino,0,1233,0,6999
Jaba,0,112,346,5141
JaroWinklerSimilarity,0,166,8618,16027
PointCloudUtilities,0,436,10772,48603
QLExpress,0,858,35595,156374
SparseBitSet,0,17,1510,22014
TurkishDeasciifier,0,178,1568,6136
TurkishMorphologicalDisambiguation,0,384,98,28324
TurkishPropBank,0,34,8,97
TurkishSentiNet,0,25,0,31
TurkishSpellChecker,0,395,20203,38447
almson-refcount,0,23,0,24
asterisk-java,2,1239,2480,5762
attoparser,0,239,437,1247
bplustree,0,98,142,263
btree4j,0,100,2892,3197
cassette-nibbler,0,222,22155,35232
choco-graph,0,238,6383,15815
cocolian-nlp,0,361,39983,54556
consistent-hash-algorithm,0,24,0,27
databuilderframework,0,394,2059,2749
dictomaton,0,482,5326,16944
ef-redis,0,63,0,77
finmath-lib,0,3941,135,6996
functional-utils,0,150,1425,1716
geogrid,0,29,96,125
gramtest,0,141,2224,2645
ik-analyzer,0,102,6,925
jackcess,0,2068,71998,96117
jackson-antpathfilter,0,173,512,694
jackson-core,0,1420,0,2769
java-concurrent-hash-trie-map,0,81,80,2347
java-future-jdk8,0,116,0,121
java-uuid-generator,8,127,0,120
java-vector-tile,0,443,2218,3797
java.math.expression.parser,0,127,2,136
javadbf,0,146,222,402
jcunit,0,475,11507,13769
jieba-analysis,0,69,224,1204
jlemmagen,0,61,69,2133
jpoker,0,431,351,1867
kiara,0,621,255136,267085
orientdb-jdbc,0,1260,331515,1026392
osm-lib,1,338,2148,4704
pgs-calc,1,1056,15454,17460
progex,0,1214,25643,62398
route53-infima,0,224,1180,1536
rtree,0,716,3456,5020
rtree-multi,4,657,47132,63616
rtree2,4,652,1514,2767
sensitive-word,0,71,458,566
stringsearchalgorithms,0,524,7578,9048
time-series-math,0,525,1961,543540
uuid-creator,0,166,4,204
vowpal-wabbit-java,0,157,152,354
xeger,0,153,1192,2845
