ASPECTJ,MONITORING,SPECIFICATION,VALG,RVMONITOR,PROJECT,OTHER,
almson-refcount,531,0,0,0,0,2,4912,
AnomalyDetectTool,1711,168,2115,233,491,2399,216,
ASM-NonClassloadingExtensions,9188,536,2940,3415,3602,8715,1553,
asterisk-java,14688,149,593,72,429,5454,410,
attoparser,5104,3269,10202,22237,12982,12292,3496,
bplustree,1690,226,12797,6631,589,15144,173,
btree4j,2451,289,4815,4514,600,8640,398,
cassette-nibbler,2924,244,6583,19832,2359,989,335,
choco-graph,3469,516,7341,1705,5478,3312,2210,
cocolian-nlp,3094,620,3126,2735,4026,2121,1592,
consistent-hash-algorithm,2001,257,2263,6056,366,605,92,
databuilderframework,6041,606,11838,3483,11082,22893,3084,
dictomaton,3685,879,4010,3997,8227,1482,4256,
ef-redis,2012,225,1027,4222,334,93,1835,
finmath-lib,2089,8,11,4,2,103,139,
functional-utils,4162,21,158,4,49,208,112,
Fuzzino,5057,1204,1095,178,1776,1716,182,
geogrid,1297,1100,2278,442,315,5587,469,
gramtest,2511,585,2155,2910,3705,286,1084,
ik-analyzer,1347,545,1918,3085,4338,1568,2551,
Jaba,1449,727,4285,2317,4881,1406,2599,
jackcess,5034,9,7,1,1,60,23147,
jackson-antpathfilter,4261,11,7,2,1,11343,428,
jackson-core,5548,364,2710,3218,574,5686,527,
JaroWinklerSimilarity,2441,1189,14850,14872,11941,4401,5976,
java-concurrent-hash-trie-map,1065,127,2121,30,283,1742,73,
javadbf,1134,125,2281,15,251,172,201,
java-future-jdk8,873,4646,306564,81,16813,94885,3750,
java.math.expression.parser,4667,299,5948,31878,2642,1743,239,
java-uuid-generator,1241,162,787,2245,343,792,348,
java-vector-tile,4810,463,3056,1401,4556,1445,1505,
jcunit,11236,4594,17137,14028,24682,2314,10462,
jieba-analysis,1221,356,2737,2033,3765,1194,1539,
jlemmagen,1144,2548,116,167,42,7832,121,
jpoker,6908,918,1570,11461,1161,693,302,
kiara,4813,673,7897,1160,3012,3923,364,
orientdb-jdbc,13596,21925,14259,15579,33161,8848,13447,
osm-lib,5500,191,3560,1640,954,2289,796,
pgs-calc,4782,128,1586,947,390,20471,263,
PointCloudUtilities,2639,345,2561,786,432,1376,194,
progex,4875,318,1559,2330,2223,609,926,
QLExpress,7679,2278,8867,7629,27916,3705,6430,
route53-infima,1306,104,517,750,1297,209,356,
rtree2,10260,361,1386,1683,2611,1482,1135,
rtree-multi,9281,253,2311,2224,2828,1740,1685,
rtree,11309,789,2943,2327,5730,2203,2896,
sensitive-word,2584,735,9491,11103,7063,2618,1557,
SparseBitSet,642,128202,2286,20,58,1222,75,
stringsearchalgorithms,4910,1062,4169,7628,5378,3622,1207,
time-series-math,8658,100,3948,142,602,3292,347,
TurkishDeasciifier,1836,219650,217,162,226,290,2373,
TurkishMorphologicalDisambiguation,4386,222852,15810,25008,10527,7563,5179,
TurkishPropBank,1041,158,1003,3834,586,310,688,
TurkishSentiNet,1400,282,1161,7113,460,504,222,
TurkishSpellChecker,2391,215564,4406,2557,2282,3595,5116,
uuid-creator,1496,671,33,76,13,7077,188,
vowpal-wabbit-java,4095,2280,11374,31527,7432,15964,1723,
xeger,1670,223,1351,1798,838,905,353,
